name,link
探火,https://scout-server.oss-cn-shenzhen.aliyuncs.com/notice/privacy.html
Yesoul,http://yesoulchina.com/ysol440/yesoulpolicy?_translucent=translucent
Adorhealth,http://www.adorone.cn/AdorHealth2/public/index.php/privacy
掌球者,http://www.zhangqiuzhe.com/privacy
走路赚钱快,http://happy.csxunxin.cn/policy.html
嗨动,http://invest.midainc.com/policy/0928/fitnesstimer/fitness/invest/vivo_policy.html
虎扑,https://www.hupu.com/policies/privacy
PP体育,http://csfs.suning.com/privacy.html#/detail?channelId=158196375796070455&name=PP体育隐私政策&navName=隐私政策&showHead=1
趣步赚钱,http://www.huanpinxinxi.cn/privacy.html
Will Go,https://app.wewillpro.com/privacypolicy
G-Force,http://xyk.cgbchina.com.cn/subsite/202006/23530008/yszc.html
品麦云康,http://blog.vtrump.com/accuway_policy_cn/
咕咚,https://tms.codoon.com/cms/pro/1515984586540zrCU6w.html
Goal,https://www.10town.com/privacy_policy.html
超神鲸,https://appsource.chainsoccer.com/privacy.html
猫扑运动,https://motion.mop.com/appfe/policy.html
佳速度,https://www.garmin.cn/zh-CN/privacy/global/
即胜体育,http://api.jishenglive.com/h5_v2/#/pages/ys/ys
健步走路赚钱多,https://www.zhongzan.com.cn/policy.html
怦怦健身,https://h5app.ejoyst.com/h5app/#/bapp-privacy-policy
PURE 生活平台,https://www.pure-yoga.cn/shanghai/page/view/privacy_policy
天天跳绳,https://www.tiantiantiaosheng.com/app_privacy
云犀,https://www.yunx.tech/#/template-comment?templateId=1341270502957649921
爱奇艺体育,http://www.ssports.com/public/static/html/privacy.html
全民邀约,https://qm1.iqirun.com/#/pages/privacy/index
SPAX,https://api.onespax.com/privacy
郁金香运动,http://www.tulipsport.com/privacy
蓝鲸体育,https://www.lanjing.live/news/detail/32
雷速体育,https://h5.leisu.com/static/privacy.html
步步有宝,https://qld.kiigames.com/h5/bubuyoubao/privacy_policy.html
悦东风,https://ydf.cvfans.net/organization/app/resource/privacyPolicy
中羽联投手,http://ydyl555.com/zyltsysxy.html
每日瑜伽,https://www.dailyyoga.com.cn/privacy.html?need_bar=1&app=1&uid=119863384&channels=100007&timezone=8.0&version=8.0.0.1&time=1597222177952&type=4&android_version=27&manufacturer=Xiaomi
小Biu运动,http://csfs.suning.com/privacy.html#/detail?channelId=158196377732185951&name=%E5%B0%8FBiu%E8%BF%90%E5%8A%A8%E9%9A%90%E7%A7%81%E6%94%BF%E7%AD%96&navName=%E9%9A%90%E7%A7%81%E6%94%BF%E7%AD%96&showHead=1
疾风比分-体育电竞赛事比分直播,https://www.jfscore.com/privacy
步天天,http://api.btt.toutiaobashi.com/secret.html
顽鹿运动,http://www.onelap.cn/protocol/2020062201/zh-cn/privacyProtocol.html
健康运动计步器,https://www.zdwx.vip/privacy.html
步多多,https://bddm.tt.cn/appfe/mass/privacy.html
轻牛健康,http://www.qnniu.com/app_protocol
立果健身-教练端,http://www.geanch.cn/xy.html
精球体育-即时比分与进球短视频,https://www.jingqiutiyu.cn/privacy.html
运动健身fit-健身,http://www.app2pixel.com/privacy
懂球派,https://www.dongqiupai.com/html/private.html
腾讯体育,https://sports.qq.com/kbsweb/kbsshare/privacypolicy.htm
立果健身,http://www.geanch.cn/xy.html
Gymbot,https://gymbot.cn/official/gymbot_private.docx
运动健康,https://consumer.huawei.com/minisite/cloudservice/health/privacy-statement.htm?country=HK&language=en_us
功夫链,https://ams.kungfualumni.com/html/info.html?id=98
小米运动,https://upload-cdn.huami.com/tposts/8192
