name,link
小鹿医生版,https://s.xiaoluyy.com/xiaoluyyapp/agreement-law.html
佛山市一医院护士版,https://api.hessianhealth.com/patienthtml/600012_1/1.0.0/options.html
好呗健康,https://www.trustlife.com/cdm/clauseView/02
按摩象,http://api.shuxihm.com/index
喜马把脉,http://h5.ximalife.com/v2/app-login/1-0/index.html#/disclaimer
宠医客,http://www.chongyike.com/staticpage/service/service.html
医鹿,https://alihealth.taobao.com/setting_about_h5_static_page/app/privacy/policy
嘉医有品医生端,http://pins-app-resources.oss-cn-qingdao.aliyuncs.com/html/protocol/protocol_privacy_policy_3.3.1.html
按摩象伙伴版,http://api.shuxihm.com/index
肖瘤医生,https://xl.xiaoliuyisheng.cn/pdf_template?pdf=layer.pdf
柠檬喝水,https://drink.lemonpiggy.com/drinkwater/privacy-policy.html
嘉医助手,http://pins-app-resources.oss-cn-qingdao.aliyuncs.com/html/protocol/protocol_privacy_policy_3.3.1.html
零零医,http://m.linglingyi.com/html5/html/privacy_agreeIOS.htm
澜渟医生,https://web.wrightin.com/#/medical/docAppPri
南风医生,https://nfys-static.kinglian.cn/H5/Contractinfo.html
山屿海医生医生版,https://doctor.syhdoctor.com/#/protocoldoctor
潮汐健康月经期助手,http://privacy.tide-health.com/privacypolicy.html
柠檬胎动,https://drink.lemonpiggy.com/fetalmovement/privacy-policy.html
健康160,https://weixin.91160.com/sys/helpdetail.html?qid=265
泰康医生,https://tkda.health.taikang.com/tkdoctor/agreement1
科瑞泰Q医,https://dr.careate.cn/flys.html
大连妇幼保健院,https://app.dfj0411.cn/mobile/privacyPolicy/privacyPolicy.html?yg_showTitle=0
柠檬小月-生理期记录工具,https://drink.lemonpiggy.com/littlemonth/privacy-policy.html
袋鼠健康-体检预约与报告解读, https://apps.daishutijian.com/wechat/h5#/provision-privacy
医学界医生站,http://www.yishengzhan.cn/privacyAgreement.html
宝宝生活记录本,http://license.xiangmaikeji.com/agreement/1319223554817949697.html
麦迪医加,https://patients.mwcare.cn/#/privacyPolicy
清果医生,http://www.qingguo520.com/wap/page.php?id=95
紫金堂,http://yinsizijintang.yunxiaochengxu.top/
药实在,http://ysz.0791jr.com/home/policy.html
点恩gratus,http://noos.com.cn/privacy.html
随身牙e,https://dentist.rhmg.cx/dentist-web/html/pluginResource/plugins/inquiry/hospital/userPrivateAgreement.html
养宠无忧,http://business.ycwuyou.com/privacy/
你今天真好看,https://api.c2h4.org/agreement/privacy.html
鸣颜,https://policy.mingyangx.com/policy.html
医统汇,http://shop.1tonghui.com/Article/Details/104
随身牙医,https://dentist.rhmg.cx/dentist-web/html/pluginResource/plugins/inquiry/hospital/userPrivateAgreement.html
微脉医生,https://m.myweimai.com/yisheng/doctor_agreement.html
小荷医生,https://docs.lvsongguo.com/lotus-doctor/privacy-protocol.html
23魔方,https://www.23mofang.com/new/protocol/privacy
女生日历,http://book.koudaionline.com/power_privacy.htm
好大夫医生版,https://m.haodf.com/napi/terms/docprivacy
平安健康-问诊购药保险平台,https://gc.jk.cn/health_protocol/index.html
戒盟,https://www.jianshu.com/p/a80913f8704b
正雅医生,http://m.case.smartee.cn/#/privacy-protocol
泰生活,https://operation.mobile.taikang.com/tkWanneng/privacyPolicyV2.html
因数健康,https://ihospital.causahealth.com/patient/service/yszc.html
颜铺专家,https://m.51yanpu.com/userAgreement
儿科医声,https://www.yyktech.com/ywebsite/privacy.html
药匣子,http://wx.zgzydb.com/web4/doctorSide/#/ruleForAndrod
榕树家,https://rsjapp.rsjia.com/registerAgreement
因数工作台,https://ihospital.causahealth.com/doctor/#/agreementForApp?type=2
杉宝,http://api.shinebion.cn/h5/aboutUs?key=user_agreement_new
慧脉药,https://go.jinmuhealth.com/p/hmy-app-privacy
掌上天坛医院医生版,http://s.tiantanmed.com/#/
想按摩上门按摩,http://abc.xianganmo199700.com/yinsi3/
妇幼保健站, http://wx.woijk.com/MedicalIntelligentPlatform/page/userprotocol
太医管家,http://oss-pub.test.shantaijk.cn/user-protocal/privacy.html
小睡眠,https://www.heartide.com/cosleep/help/doc#/privacy
39健康医生版,https://m.guijk.com/gwp/user/agreement/4
城固县医院医生端,https://h5.chengguxianyiyuan.com/agreement/doctor/privacy
谷狗健康,https://m.gugoujiankang.com/addons/we7_wmall/template/vue/index.html?menu=#/pages/diy/index?id=509&i=4
必益互联网医院,http://doctor.dgtz.biyi120.com/workspace/html/privacyPolicy.html
安顿,https://i.iandun.com:8085/group1/M00/00/01/rBEM_1tLcZWAdJW6AAJPtDGgR5Q60.html
足田喜事,http://share.huizukeji.cn/index/index/text?id=21
郑州人民医院,http://ehealth.easygroup.net.cn/ehealth-web/privacy.html
福瑞医疗,http://file.supermm.me/app/useragreement/doctoryinsi.html
家有好医医生版,http://m.anan.ai/service-agreement.jsp
医和你医小助,https://web.yiheni.cn/agreement/assistPri
