name,link
诗词大观,https://weibo.com/ttarticle/x/m/show/id/2309404639748538106858?_wb_client_=1
神漫画,https://static.321mh.com/html/h5/index.html?id=59
搜书侠,http://api.rjz1.com/privacy.html
小说听书,http://oss.emmmn.com/0051e781-f713-4456-96b6-e2de9d18c5ad.html
微信读书,https://privacy.qq.com/yszc-m.htm
免费小说大全,http://privacy.ktread.cn/sec/privacy_policy.html
链闻,https://www.chainnews.com/pages/agreement/
顶点免费小说,http://www.yxzweb.xyz/yinsi.html
漫漫漫画,https://m.manmanapp.com/help/privacy.html
熊猫看书,https://megatron.xmkanshu.com/help/privacy?p10=7
笔趣阁小说阅读器-快读免费小说,https://web.dawenming.com/privacy/policy/2.html
闲言,http://xianyan.fangfat.com/?id=12
游戏时光,https://www.vgtime.com/protocol.html
藏书馆,https://h5.geebooclub.com/pages/protocol/privacyProtocol?isApp=1
当当云阅读,http://e.dangdang.com/touch/ddreader50/appAgreement-page.html
内容市场,https://www.airbook.press/privacy
全国报刊索引,https://www.cnbksy.com/account/privacyPolicy
番茄畅听,https://novelfm.snssdk.com/novelfm_offline/novelfm/page/privacy.html
微书房,http://www.chineseall.cn/jjtheme/readCardLogin/user/index_zc.html
樊登读书,https://card.dushu.io/app/eula/index.html
稀饭免费小说,https://www.xfreader.com/agreement/user_private.html
一本漫画,https://www.yibenmanhua.com/product/privacy
免费言情小说,http://conf.koudaionline.com/missu_privacy.htm
掌阅全本免费TXT小说,http://ah2.ireader.com/fe3/zybook/other/statement/agreement_nsk.html
看漫画,https://static.321mh.com/html/h5/index.html?id=71
疯读小说,http://www.shdengyong.com/Common/crazy_reader_android/privacy_policy_0214.html
米读小说,https://m.midukanshu.com/privacy_agreement/android.html
淘小说-阅读赚钱,http://ty.taoyuewenhua.net/privacy.html
写书小说阅读,http://ext.cdyt.com/Novel/Html/yinsi/yinsiLn.html
爱优漫,https://static.321mh.com/html/h5/index.html?id=66
快看漫画,https://www.kuaikanmanhua.com/anim/privacy_policy.html
AME图书,https://www.freeprivacypolicy.com/live/3173331e-8241-4199-99d2-53c3867dd3f3
第一读者,http://www.duzhebao.cn/dydz/privacy.html
鱼丸小说,https://api.juzimoo.com/fishball/privacyAgreement/document/?type=0
京东读书&mdash;看小说听名著,https://jdread-api.jd.com/h5/protocol_privacy 
点阅小说大全,http://s.dyreader.cn/law/Privacy-Android.html
连城读书,http://h5.lc1001.com/h5_html/userprivacy.html
炫彩小说,https://short.goldenad.net/d5c61076d3
咪咕阅读-免费小说,https://passport.migu.cn/portal/privacy/protocol?sourceid=
触漫,http://www.chumanapp.com/platformRulesPrivacy.html
17K小说,https://h5.17k.com/inc/agreement/protectionuserinfo.html
万能阅读器,http://aliyunoss.duodutek.com/2b76b6de-56d8-4e2f-a28e-d32bc5b951fe.html
皮皮漫画,https://www.pipimanhua.cc/privacy.html
疯读极速版（原扎堆小说）,http://www.shdengyong.com/Common/crazy_reader_extremeEdition/privacy_policy_extreme_edition_20200805.html
豆腐阅读,https://www.doufu.la/help/privacy
咚漫漫画,https://www.dongmanmanhua.cn/terms#privacyPolicy
红豆免费小说,http://qb0.hongdouyuedu.com/cms_files/static_resources/wwa1/ystk.html?v1
视网么AR,https://retinar.cn/m/article/5e0462c87796d9006ae40861
西梅,https://translate-summary.oss-cn-shanghai.aliyuncs.com/ximei-privacy-agreement.html
品言文案-文学之美,http://rubaoo.com/whipser_privacy.html
面包FM-听有声小说,http://wx.voxpie.com/privacy
来鸭,https://www.laiyagushi.com/term/user-private
奇迹文学,  http://www.ximalaya.com/passport/register_rule
笔趣阁,https://short.goldenad.net/42151397d6
微读吧,https://api.tengwen016.com/note/privacy?package=wdb
蛮多小说,https://m.midukanshu.com/manduo/privacy_agreement/index.html
红袖读书,https://passport.yuewen.com/privacy_policy.html
芒果次元快看小说,https://gs.yisitianxia.com/com.yisitianxia.wanzi/v1/index.html#/privacyPolicy
早安语录-句子文案,http://rubaoo.com/zaoan_privacy.html
漫画台,https://static.321mh.com/html/h5/index.html?id=62
石景山文E,https://www.sjsggwh.com/Public/Privacy
总裁读书会,http://www.winnerbook.com.cn/mobile/index.php?m=other_pages_app&a=help&id=364&tdsourcetag=s_pcqq_aiomsg
新华读佳,https://help.xhsd.com/pub/articles/detail?id=60&categoryIds=49
TXT全本免费小说亭,https://maijia.neocities.org/zhijian.html
网易蜗牛读书,https://du.163.com/special/002164I9/privacy.html
欢乐蛋读,https://img.doudouxiaoshuo.cn/egg_privacy.html
书城小说阅读器,http://baby.dadawh.com:1807/read.html
七猫免费小说,https://xiaoshuo.wtzw.com/h5/v1/protocol/privacy
洋葱免费小说,http://cdn.ibreader.com/group1/M01/24/D0/rBH_vl8_f8GATk6MACU64lqXz3Q547.jpg
视阅,http://shiyue.gzxwtpw.com/#/yszc
免费小说阅读大全,https://ds.splings.cn:4432/v1/android/client/h5/privacy_policy
连尚读书,https://readact.zhulang.com/static/read/i/policy_080830.html
我听,https://webapp.wotingfm.com/protection
春暖爱阅读,https://app.yinxiang.com/fx/3bdc8a2b-d550-4025-bcbe-ba381c02ed3a
知网文化,http://kdjk.cnki.net/resource/agree/issue
散仙建龙-鬼吹灯有声小说,http://wx.voxpie.com/kids_privacy
必阅免费小说,http://cdn.ibreader.com/group1/M01/C3/C3/rBH_vl8WmxOAUr2GADeXaeK-t2k927.png
西瓜免费小说,http://privacy.ktread.cn/sec/privacy_policy.html
abc小说,https://api.abcxiaoshuoapp.com/website/policy.html?b=YXBwaWQ9NDEmYXBwbmFtZT1hYmPlsI/or7Q=
职工书屋,http://m3.dzzgsw.com/publishplatform/static/index.html
次元姬小说,https://api.hwnovel.com/app-fiction/privacy
朗读大师,https://readmaster.langdudashi.com/privacy_policy.html
汽场,http://m.qichangv.com/web/policy.html
小说亭,http://oss.emmmn.com/ae0cabdf-4dba-48c3-972a-56fce9d76aa1_f_1179052776.html
宝贝王,https://app.kidsplace.cn/kidsplace/resources/#secret
微信听书,https://privacy.qq.com
优兔阅读,http://www.utuyuedu.com/site/privacy
有道乐读-儿童语文阅读,http://corp.163.com/gb/legal.html
哈佛管理导师,https://www.myhbp.org.cn/hmmchina/privacy_hubs.html
鲸云轻小说,https://m.jyacg.com/privacy.html
喜马拉雅极速版,http://passport.ximalaya.com/page/privacy_policy
都看免费小说,http://api.fcycomic.com/site/privacy
简讯,https://www.tipsoon.com/?a=agreement&id=2
手机知网,https://wap.cnki.net/touch/web/appioszhengce.html
黑岩小说,https://m.lemonyd.com/privacy
斗看免费漫画,http://api.comic.fcycomic.com/site/privacy
晋江小说阅读,https://wap.jjwxc.net/register/showRegisterRule
掌阅小说免费追书大全,https://ah2.ireader.com/fe3/zybook/other/statement/agreement_novel.html
番茄免费小说,https://reading.snssdk.com/wap/dr-privacy-v3-ad.html
全本免费阅读器,https://st.quanbennovel.com/static/new/com.quanben.novel/html/privacyPolicy.html
免费淘小说,http://ty.taoyuewenhua.net/privacy_tfbook.html
独阅读-历史小说,https://app.duread8.com/setting/event/privacypolicy
懒人极速版,https://h5app.kuwo.cn/m/9c0092e0/kwsecret.html
趣看全本免费小说,https://api.qukanxsapp.com/website/policy.html?b=YXBwaWQ9NTImYXBwbmFtZT3otqPnnIvlhajmnKzlsI/or7Q=
免费小说搜索器,https://qingwenwangluo.neocities.org/provicy.html
爱看书免费小说,https://h5-freebook-new.cread.com/privacyPolicy
阅读-海量小说免费,http://www.duokan.com/c/privacy
聚阅小说,http://img.7xbook.com/upload/html/privacy.html
懒人畅听高级版,https://m.lrts.me/h5/help/privacy_android
轻墨定制书,https://www.sgshu.cn/v3/timebook/appmain/appPrivacy?pagetype=2
豆瓣阅读,https://read.douban.com/privacy
趣小说-正版热门小说免费阅读,http://www.ifeng.com/corp/privacy/
搜狗阅读,http://corp.sogou.com/private.html
全本免费TXT小说,https://maijia.neocities.org/
搜书大神,http://www.biqutu.com/yinsi.html
中经商学院,http://app.bmronline.com.cn/News/agreement.html
迅阅免费小说,https://oss.siyixunta.cn/web/book/private.html
今日财界,http://app.17ok.com/platv4/platcontent/individual
飒漫画,https://m.samh.xndm.tech/samh_static/privacy/index.html
TXT文本听书,http://ext.cdyt.com/Novel/Html/yinsi/yinsiIt2.html
氧气听书,http://m.o2ting.com/hd/byysxy3.html
看理想,https://api.vistopia.com.cn/api/v1/web/privacy-policy 
快点阅读,https://www.kuaidianyuedu.com/legal/privacy
全现在,https://m.allnow.com/paper/privacy
IT之家,https://www.ruanmei.com/agreement/privacy.htm
好看漫画,https://www.yzpai.cn/comic2/web/agreement
起点读书,https://passport.yuewen.com/privacy_policy.html
橙光阅读器,http://www.66rpg.com/user/userprivate
老魏读书,http://wap.laoweiread.com/app_protocol.html
知音漫客,https://static.321mh.com/html/h5/index.html?id=6
万能电子书阅读器,http://www.popular-movie.cn/mobile.php?m=text2&a=index&classify_id=267
免费漫画阅站,https://cleansite.com.cn/privacy.html
免费小说阅读app,http://m.tadu.com/topic/7145
疯狂小说,http://e287a445-2048-4710-9be9-8314241bdb74.oss-cn-hongkong.aliyuncs.com/6336e30c-9c88-4852-ba92-e1ea4dbc9c3b.html
搜书大师,http://moonreader.cn/downloader/privacy.htm
书旗免费小说,https://t2.shuqi.com/sq-secret.html
米读极速版,https://m.midukanshu.com/privacy_agreement_wz/android.html
太平洋知科技,https://mrobot.pconline.com.cn/s/onlineinfo/app/protocolWap.xsp
搜狗免费小说,http://corp.sogou.com/private.html
整合心理,https://60.205.252.167:8082/agreement.html
珍新闻,https://sf1-hscdn-tos.pstatp.com/obj/ies-hotsoon-draft/stone_reader/reader_policy_cn.html
懒人畅听,https://m.lrts.me/h5/help/privacy_android
全民小说-免费版,https://www.duokan.com/c/free/privacy_v2
