name,link
潼恩说,https://tongentalk-app.tongen.love/agreement
游戏实时变声器,http://www.cxweb.cn/nd.jsp?id=4
屏幕整人恶作剧,http://dydycool.com/
狗语翻译器, https://www.camoryapps.com/moreapps/privacy_policy/pettraining/policy_cn.html 
免费算命,https://www.jinriyuncheng.com/h5/#/pages/Wodeshezhi/yszc/yszc
玩主,https://testxcx.wanzhushipin.cn/privacy_policy_cn.html
爱星盘,https://www.ixingpan.com/index.php?s=page&id=7
我眼神儿贼好,http://paintly.resource.tapque.com/resource/file/service_policy/privacy-policy.html
猫咪宠物翻译器, https://lovechihiro1.lofter.com/post/1ff18e5b_1c8f8c188
欢聚抓娃娃,https://hjm.loovee.com/protocol/index?app=huanju
中国象棋对战,http://47.90.28.148:8090/app/english_ll/yszc.html
快看星座,http://protocol.lingjipt100.cn/pick/kuaikanxingzuo.html
个性头像签名网名,https://www.shengqianwangzhan.com/gexingyinsi.html
猫狗翻译神器,https://xixihaha2020.lofter.com/post/31a80829_1ca13b5ad
知命八字算命起名,http://qiniu.ddznzj.com/media/yunzhuo/yunzhuo_user_privacy.html
语音包变声器,http://www.szyy2106.cn/privacy.txt
起名字典,http://ys.m1g1.com/
问真八字,https://bzpp.zhulusoft.com/private2.html
寺庙灵签,http://www.icelamp.cn/privacy-policy/privacy-policy-cn.html
高人汇-周易算命,http://www.gaoren.net/index.php?m=ZTM&c=Active&a=newsShow&nid=ZTM5D8872C2E750B
道友,http://www.92dou.cn/about/privacy.html
配音秀,http://peiyinxiu.com/app/Article/115
全民猜猜,http://ags-static.forcemt.com/h5/online/index.html#/privacypolicy3
内个段仔,http://clply.cn/common/settings/neigeduanzai/privacy-agreement.html
最强消消消,https://oss.leyungame.com/lwwx/yszc.html
租号玩专业版,http://www.zuhaowan.com/Appv2/help/privacy
魔幻贴贴,http://cdn.file.yongxinshuo.com/5848e925-77f6-468c-b43a-2f1ab9242ac4_f_918750091.html
开心成语消消乐,https://puzzleeasy.github.io/IdiomPrivacy.html
问问塔罗,https://www.aataluo.com/agreement_wwtlysxy.html
聚会无聊玩骰子,https://www.shengqianwangzhan.com/juhuiyinsi.html
天机六爻排盘-占卜算命周易预测,http://office.eeeshu.com/posts/list/105/5985083.html
王者来猜歌,http://song-static.handslipt.net/music_h5/test/index.html#/privacypolicy?sdhzinfo=%7B%22downloadTag%22%3A+-1%2C+%22schemeSupport%22%3A+true%7D&back_page=1&version_name=1.0.0.7&platform=android&yid=yid_read_failed&uid=&timestamp=89477&package_name=com.song.king&channel_name=360
和平吃鸡变声器,http://www.shfy2016.cn/privacy.txt
玄星灵机大师,http://wordpress.m1book.com/隐私声明
生辰八字合婚,http://ys.lmlaqh.com/
