name,link
思鸿题库,http://app.edusihong.com/app/policy/tkpolicy.html
音乐壳,http://cdn.kids.immusician.com/app/privacy.html
红杏林,http://wx.hxledu.com/livePage/explain/index.html
基金从业云题库,http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=4
麦咭TV-金鹰卡通卫视官方APP,https://h5.maijitv.com/app/MainPrivacyPolicy/
驾考宝典科目二,https://laofuzi.kakamobi.com/agreements/privateAgreement.html?_productCategory=jiakaobaodian&_product=驾考宝典科目二&_appName=jiakaokemuer
乐私塾,http://www.51lss.com/reciprocal.html?protocol
爱说话的奇奇,https://www.babybus.com/policy?name=privacy
帮你教机构版-招生排课,https://h5s.bangnijiao.com/apprule/schoolrule.html
高考志愿2021,http://www.weilaihongtech.cn/privacy-gaokao.htm
小火花启蒙,https://m-ai.huohua.cn/agreement/privacy
爱学仕教师,http://aixueshi.yixueqinbei.com/
生辉,https://apii.deeptechchina.com/agreement
多多医院,http://cdngamebd.ergeduoduo.com/ddedu/policy/privacy_policy_new.html
金融考试准题库,http://api.wangxiao.cn/app/private_policy.html
建企人才,http://47.114.43.112/dream_admin/file/31.html
起形 - 美术交流分享平台,https://api.miya.miyaarts.com/qixing/pages/privacy/index/index
久趣英语绘本,https://static-app.97kid.com/site-student/html/privacy.html
职虎,https://zhihuadmin.chinahrt.com/index.html#/privacyAgreement
宝宝学拼音,https://cn.babybus.com/policy?name=privacy
叫叫绘本, https://jojosz.tinman.cn/market/huibenPolicy/#/privacyPolicy
小鹿写字,https://yy-s.zuoyebang.cc/static/hy/yy-app-web/userAgreement.html
多多小镇,http://cdngamebd.ergeduoduo.com/ddedu/policy/privacy_policy_new.html
心理咨询师快题库,http://www.hqwx.com/aboutus/policy/ktiku.html
优师端,https://static2.hexfuture.net/page/terms0-1.html
众蚁,http://mocking-j.com/ng6/privacy
新概念英语全四册,https://ai.iyuba.cn/api/protocol.jsp?apptype=%E6%96%B0%E6%A6%82%E5%BF%B5%E8%8B%B1%E8%AF%AD%E5%85%A8%E5%9B%9B%E5%86%8C
食安快线通用版,http://api.shiankuaixian.com/agreement/privacyAgreement.html
帮考网,http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=2
留学酱学霸端,https://www.easy-a.cn/user_private_agreement.html
DreambigCareer,https://www.dreambigcareer.com/privacy-policy.html
儿童阅读训练营,https://jojosz.tinman.cn/market/readxlyPolicy/#/privacyPolicy
雅思智学,https://student.yasizhixue.com/student-app-h5/serviceAgreement
希希助培,http://www.xixedu.com/privacy/privacy.html
中级会计职称题库,http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=2
多多动画屋,http://www.ergeduoduo.com/baby/private_policy/cartoon.html
帮帮识字,https://app.bangbangkids.cn/agreement/user
全国驾考3D考场模拟练车,http://jiakaojiayuan.cn/GameServer/game/xieyi/kc3dyinsixieyi.html
兔小贝拼音,https://tuxiaobei.com/h5/privacy/zhengce.htm
二建考试帮考题库,http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=2
学有义方,http://m-xyyf-web.ai160.com/res/protocol/protocol.htm
不凡课堂,http://www.zybang.com/static/hy/cj-main-app/policy.html
艺术升,http://img.yijianmeivip.com/app/privacy_policy.html
瓜瓜龙启蒙,https://english.ggl.cn/magic/page/ejs/5fdf89d1b2ccc9031b289ce9?appType=gglenglish
一建考试帮考题库,http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=2
倍倍星,http://www.51bbxwj.com/index/index/privacy_policy
掌门优课,https://hybrid.zmyouke.com/policy
开心找找茬,https://shimo.im/docs/QcQPtkvrVQcWKCDR/
包学习,https://www.baoxuexiedu.com/app_share/lnspection.html
学习通,https://homewh.chaoxing.com/html/agree/privacyPolicy.html
恩屋蓓儿园丁,http://appst.giftbel.cn/#/statement/1
奇妙启蒙,https://cn.babybus.com/policy?name=privacy
小盒学生,https://ssweb.knowbox.cn/protocol/privacy-protocol-student-iOS.html
银行从业题库,http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=2
高途课堂,https://m.gaotu100.com/policy
桥吧英语,https://www.iqbar.net/InformationProtection.html
智安校园,https://app.zhejiangqinghai.com/doc/user_agreement.html
宝贝爱玩挖掘机,https://shimo.im/docs/CkpKXRYg8H8KcPt6/
证券从业帮考题库,http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=2
艺百理-乐理视唱练耳音基助手,http://article.yibailiclass.com/privacy/protocol.html
好多曲谱,https://www.haoduoqupu.com/privacy-protocol.html
永乐象棋棋谱,http://aiqikeji.cn/home/privacypolicy
新汉字宫,http://api.hanzigon.cn/v3/index.php/index/Privacy/privacyProto
期货从业题库,帮考题库 http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=2
书本纪,https://api.shubenji.cn/Point/Url?point=书本纪用户隐私协议
环境影响评价师准题库,http://api.wangxiao.cn/app/private_policy.html
LlLY英语网校,https://cms.lilyclass.com/api/cmscore/protocol?type=2
火花思维课堂,https://m.huohua.cn/agreement/privacy
基金从业帮考题库,http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=2
猫小帅拼音-儿童拼音学习,https://www.haizi.com/zixun/20190513-100159.html
闪电老师,https://www.shandianlaoshi.com/
初级会计帮考题库,http://yufa.ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=2
