name,link
DLabel云标签,http://www.dlabel.cn/serverItem.html
桔子计算器,http://data.juzipie.com/common/privacy_policy_ant_cn.html
爱卡卡精选,http://akk.028wkf.cn/akk-privacy-policy.html
小视频剪辑,https://www.camoryapps.com/moreapps/privacy_policy/videocropped6/policy_cn.html
QQ浏览器,http://www.qq.com/privacy.htm
火蚁生活,http://web.szfire-ants.com/content.html
享播,http://api.xiangbo.me:6321/pages/system/agreements.html
吉日天气,https://tianqi-app.2345.com/h5/gold/staticPage/huangli/privacy.html
超级扩音器,http://bt.adinall.com/game/ysxy/yszc.html?appname=%E8%B6%85%E7%BA%A7%E6%89%A9%E9%9F%B3%E5%99%A8&company=%E5%B9%BF%E5%B7%9E%E7%82%AB%E7%A9%BA%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
搜狗录音助手,http://corp.sogou.com/private.html
蚂蚁兼职,http://imgcache.school51.com/Public/html/privacy.html
WiFi万能钥匙,https://a.lianwifi.com/app_h5/agreement/a_v1/privacy/cn.html
蜂鸟电竞,https://www.fengniao007.com/private.html
乐享WiFi,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=29009
WiFi万能钥匙极速版,https://cn.wifi.com/app_h5/agreement/a_lite/privacy/cn.html
青岛人社,http://zhrs.qingdao.gov.cn/zfbApp/pages/yinsi.html
运脉物流云,https://mp.logibeat.com/new_privacy/YMDPrivacy.html
急修匠,http://www.huanglangtou.com/worker/ysxy/getYhzc
腾讯相册管家团队版,http://www.qq.com/privacy.htm
爱发电,https://afdian.net/privacy
虚贝租号,http://app.xubei.com/policy/privacy.html?channel=xiaomi
爱涂妆,http://atz.dovepaint.com/privacy
文字转语音,https://voice.zuichu.me/privateRule.html
ES文件浏览器,http://esfile.do-global.com/privacystatement/cn/index.htm
装工具,http://clause.lehosoft.com/pages/privacy/leho.html
魔方祖源,https://www.23mofang.com/new/protocol/privacy
云司机,https://mp.logibeat.com/new_privacy/YMDriverPrivacy.html
顺心天气,https://h5.jiandantianqi.com/event/shunxin/rule/privacyPolicy.html
美团众包,https://peisong.meituan.com/app/protocolDetail?appType=1&protocolType=3
铅锤仪,https://www.jianshu.com/p/c254605bc30b
内存垃圾清理君,https://www.camoryapps.com/moreapps/privacy_policy/mobilecleanup3/policy_cn.html
对鸭表情包制作,http://gif.green-box.cn/?s=V1.Agreement.Privacy
小家记,https://www.xiaojiaji.com/term/privacy
货运中国,https://hhy.cargocn.com/download/hhyapp/privacy_huoyun.html
e三明,https://www.appsanming.com/jeecmsv9f/html/gysm/20200812/25246.html
小柠拍中心端,https://xnp.ningmengcar.com/privacy.html
黑蜻蜓,http://www.apppark.cn/privacy.html
猫语翻译官,http://www.tzmanli.cn/yinsi/
岛风实时翻译,http://www.daofeng.xyz/tos/private.html
蜗牛淘房经纪人,https://www.woniutaofang.com/advice.html
吃鸡录屏,https://static.fuguizhukj.cn/protocal/chijiluping/cjlpyszc.html
茅台镇国酒价格与鉴定,https://zh-app-store.oss-cn-shenzhen.aliyuncs.com/AndroidInfo/Maotai/hangqing/base_yszc.html
WiFi众联钥匙,https://static.wlanbanlv.com/usu/privacypolicy.html
佛山市一医院,http://oos-cn.ctyunapi.cn/relgdkmfs1/mocire-mcrstaticpageconf-pictureurl-159831772908206800608610.html
网付合伙人,https://www.163.gg/h5/wf_agent_privacy_contract_sign.html
应用分身版,http://www.voicesrobot.com/index.php?service=App.Yinsi.Explain&appname=%E5%8F%98%E5%A3%B0%E5%99%A8&company=%E5%8E%A6%E9%97%A8%E8%BF%85%E7%9D%BF%E7%BD%91%E7%BB%9C%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
扫描仪pdf,http://note.youdao.com/s/5zyj9XSa
AE浏览器,http://app.aebrowser.cn/api/v1_web/web_service/protocol
小黄蜂管家,https://smartwasp.bj.bcebos.com/smartwasp_app_privacypolicy.html
就聘乐,https://www.jiupinle.cn/agreement
急修匠师傅端,http://www.huanglangtou.com/worker/ysxy/getYszc
极速录屏大师-一键录屏软件,http://screen.bikao.com/html/lpds/conceal.html
短视频变现,https://www.svcash.cn/protocol/privacy/privacy_policy.html
畅听助手,http://www.lqai.cn/services.html
键多多输入法,https://static.51biaoqing.com/wap/prod/0131/duoduo_privacy_android.html
星AI,https://www.simcam.ai/star-ai-privacy
微商加友神器, http://www.ufoxt.com//agreement//wxjy_yszc.jsp
游戏中心,https://static.g.mi.com/game/newAct/legalRegulations/index.html#/privacy
合赢充电宝共享联盟正式版,https://lianmeng.yixiaobao.net/user_protocol.html
芒果声音放大器,http://bt.adinall.com/game/ysxy/yszc.html?appname=%E8%8A%92%E6%9E%9C%E5%A3%B0%E9%9F%B3%E6%94%BE%E5%A4%A7%E5%99%A8&company=%E5%B9%BF%E5%B7%9E%E7%82%AB%E7%A9%BA%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
易企客,http://eqkcrm.com/UserPrivacyAgreement.html
Toxx,https://toxx.wscreativity.com/privacy-policy.html
积木表情包,http://www.szyy2106.cn/privacy.txt
多开分身有术,https://multi-adocker.droigroup.com/protocols/multi/Privacy.html
DT浏览器,http://www.dtdtdt.cn/dow/2.php
韵达快递,http://www.yundaex.com/cn/privacyPolicy.php
山东移动,https://m.sd.10086.cn/sd_h5_service/html/agreeMent/index2.html
VOGER,https://zhao.cmmat.com/xcws/download/VOGER_PRIVACY.html
iApp,http://iapp.yx93.com:8881/30/a/g15.aspx
录屏软件屏幕录制,https://www.camoryapps.com/moreapps/privacy_policy/dailyscreen5/policy_cn.html
鲨鱼浏览器,http://pmoon734.lofter.com/post/1ff01cd3_12badfebe
FESCO,https://api2.fescotech.com/appserver/htm/announce/index
WiFi万能破解,http://www.tzmanli.cn/yinsi/
小佩宠物,http://m.petkit.cn/app/about/policy/cn.html
录音转文字备忘录,http://www.szyy2106.cn/privacy.txt
星云社区,http://nebulaedu.com/private/private.html
窗帘神器,http://www.yiyaoit.top/curtainCalculator/file/yszc.html
飞狐视频去水印, http://video.88765.com/api.php?service=App.Privacy.Explain&appname=飞狐视频去水印
只只学园,http://watch.zhizhi.fun/web/privacy
二维码与条形码,http://m.uquba.net/Conceal/Scanning
云清理大师,http://47.111.238.107/page/yql/privacy.html
乐享科技saas,https://helper.joyspreader.com.cn/tab3-privacy.html
手机照片恢复工具,http://www.yxluping.com/ywftprotocol/
算卦占卜大师-六爻排盘算命软件,http://asianyiapp.howzhan.com/posts/list/18/5978991.html
微商宝,http://static.fuguizhukj.cn/protocal/weishangbao/wsbyszc.html
一键管车,http://jygps.com.cn/appPrivacy.html
全能语音导出助手-语音合成MP3,http://yyzs.5ggoo.cn/html/yinsi.html
全能wifi密码钥匙,http://www.tiantianyouhuiquan.com/html/yszc/qnwifimmys/yszc.html
纪念日,https://early.rhinox.cn/privacy.html
提词宝,http://community.yzrom.com/h5/ticibao.html
猎豹清理大师,https://www.cmcm.com/zh-CN/policies/clean-master-privacy
中华农历黄历,http://www.ziyi18.com/res/ziyi/htmls/conceal.html
杀毒清理大师,http://www.angogo.cn/newdoc/sdqlds/60/privacy.html
云到,http://www.yunmei168.com/file/mobile/secret/index.htm
如斯,https://xrc.xianbeikeji.com/privacy.html
我好运,https://why-api.sj56.com.cn/senna2/app/v1/userinfo/getHtmlUrlNoImg?type=3
配音专家,https://www.yixunsoft.site/PrivacyPolicy.html
瑶梦令,https://cip.wanxinwangluo.com/yaomeng_policy/privacy.html
锁机达人,https://www.yunsimon.cn/download/privacy.html
真香兼职-手机兼职赚钱找工作,https://www.jianke.cc/wap/userAgreementZxjz
驿道,http://112.60.95.71:8090/iiw/iiw.familymeeting_remote/webapp/html/appprivacyagreement.html
中国人寿寿险,https://ecsscms.e-chinalife.com/p/727
大众物联,https://h5-dzwl.zjeja.com/document/privacy_policy.html
i襄阳,https://ixy.xiangyang.gov.cn/sga/sgah5/usermodule/index.html#/privateProtocol
群晖管家,https://www.synology.cn/zh-cn/company/legal/privacy
信息管理平台,http://minfo.isendo.cn:1523/minfopolicycn.html
省电大师-省电王,https://short.goldenad.net/f7f8fc5f7a
WiFi闪电宝,https://wifi.my91app.com/WiFisdb/yinsi/index.html
芒果自动点击器,http://bt.adinall.com/game/ysxy/yszc.html?appname=%E8%8A%92%E6%9E%9C%E8%87%AA%E5%8A%A8%E7%82%B9%E5%87%BB%E5%99%A8&company=%E5%8C%97%E4%BA%AC%E6%95%B0%E5%AD%97%E6%A3%AE%E6%9E%97%E7%BD%91%E7%BB%9C%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
叨特,https://dt-wap.mydaote.com/view/privacy_agreement/privacy_policy.html
WiFi优化助手,http://www.wifisafeassist.com/private.html
WiFi钥匙神器,https://zhijiayuedu.com/BKH5-wifi_privacy_agreement.html
全民反诈, https://antifraud.fzlm.org.cn:9000/hicore/clause/privacy
糖心视频,http://jingua.xyz/westmelon.html
最美情侣-爱情纪念日恋爱记录,http://m.haohuiyi.top/reghtml/zuimeiqinglv.htm
百变小组件,https://meiapps.ipolaris-tech.com/widgets/隐私政策-中文.html
绿色手机管家,http://sjgj.cdzyzs.net/privacy/
微鹏,http://xungj.com/wenotes/privacyagreement.html
智慧农贸市场端,http://1.194.239.20:8100/agreement/secret.html
时间规划,https://www.camoryapps.com/moreapps/privacy_policy/livedays3/policy_cn.html
Glowe 阁楼,https://cdn.tellers.cn/glowe/html/yszc.html
DeepHow Player,https://public.deephow.net/policies/DeepHowPrivacyPolicyCN.htm
手机管家,http://www.tiantianyouhuiquan.com/html/yszc/sjgj/yszc.html
免打扰清理僵尸粉,https://tool.rongyx.com/MicroRabbit/privacyPolicy/privacyPolicyqf.html
恒记,https://m.hengzwl.com/privacy.html
三元催化风向标,http://sanyuan.uykeji.com/policy/youyukeji_p.html
口译员,none
九号出行,https://api5-bj.ninebot.cn/h5/privacy_agreement/privacy_new?language=zh
喝水宝宝,http://one.bohanyuedong.com/protocol
桂聘,https://www.guipin.com/fuwu/xieyi.html
点评管家,https://rules-center.meituan.com/m/detail/guize/2?activeRule=1
全能手机管家,https://app-1258361781.cos.ap-nanjing.myqcloud.com/privacy_policy_1.html
商单软件,https://down.sd32.cn/consult/yinsi.htm
腾讯加速器,https://privacy.qq.com/yszc-m.htm
吉祥来电秀,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=15215
TFT云顶攻略助手,http://static.miplus.cloud/tft/page/privacy/index.htm
无忧清理大师,https://app-1258361781.cos.ap-nanjing.myqcloud.com/privacy_policy_2.html
WiFi全能管家,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=29000
微商,http://static.fuguizhukj.cn/protocal/tiantianweishang/wsbbyszc.html
变声器精灵,http://www.voicesrobot.com/?service=App.Yinsi.explain&appname=%E5%8F%98%E5%A3%B0%E5%99%A8
鲁大师,http://sjapi.ludashi.com/cms/page/app_protocal.html
智慧职教,http://www.xzzg.com.cn/?page_id=2932
易量体,https://www.emtailor.com/imeas_asset/privacy_en-US.htm
人本位,https://gh.ghrbw.com/static/rbw/agreement.html
加盟网,http://appapimj.jmw.com.cn/statement/service_mjb.php?name=加盟网
手机克隆大师,http://resource.mzlife.net/dt/clone/contracts/privacy.html
如意来电秀,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=15216
视频去水印下载,http://yanmenyun.com:27016/secret/yanm
视频制作软件,http://survey.szsszykj.com/api/Protocol/detail?id=54
铁甲帮,http://www.tiejiabang.com/tjb2/pub/h5/agreement
网速管家极速版, http://www.speedtest.cn/privacy-mobile
芯象直播助手,https://live.vzan.com/assets/html/privacypolicy.html
买房计算,https://shimo.im/docs/b8fIn3voZ0YwAWpO/read
中银智慧商家,https://ebsnew.boc.cn/bocSMA/smartPay/index.html#/protocol
萌我变声器极速版,https://voice.i7play.com/xieyi-pri.html
植医堂医生端,https://pic.zytchn.com/op/privacy/index.html
数字化门店助手,https://wx.mimixiche.com/wx/shop_pages/use_agreement_2
录音转文字实时提取,http://fanlouoss.ronggyuan.com/26af98af-49b0-4766-8cc3-576f5b598e3e.html
云教练,http://admin.qianyuesport.com/contract/UserAgreement.html
动态壁纸精选大全,http://oss.ddmhit.com/55225490-da3c-4bea-9b63-458fb4fbe5f1_f_xiaomi.html
众能联合商户版,https://oss-znlhzl.oss-cn-shanghai.aliyuncs.com/app_merchant/law_policy.html
网络测速大师,http://baby.dadawh.com:1807/speed.html
蔚蓝企业版,http://www.ipe.org.cn/apphelp/legal/appleLegal.html
植医堂,https://pic.zytchn.com/op/privacy/index.html
兴车宝商家,https://xcbshl.gdxcbcar.com/xcb/ysxy.html
优粤佛山卡,https://main.yykgd.com/noticeNews/staticHtml?id=e8a27a97-5cde-4ac6-8407-81051331951e	
微粉助手-清粉群发,http://xh.5taogame.com/weifenzhushouPolicy.html
爱课堂投屏,https://iclass1.com/static/privacy.html
安的快收,http://www.andijt.com/others/agreement/隐私保护条例.html
订阅号助手,https://weixin.qq.com/cgi-bin/readtemplate?lang=zh_CN&t=weixin_agreement&s=privacy
腾讯手游加速器,https://privacy.qq.com/
地质云,https://geoapp.cgs.gov.cn:8300/downloadapp/xieyi.html
讯捷高清录屏助手-录屏精灵,http://resume.hudonge.cn/ys/ysxyVideo3.txt
计算器计算,http://www.zhizhoukeji.com/calculator/privacy
叮叮房嫂,https://m.dingdingfangsao.com/pages/login/agreement
WiFi雷达,http://leida.cdzyzs.net/privacy/
一键wifi神器,https://docs.qq.com/doc/DT0tDRWFQYVJ0eW5T
全面屏手势,http://www.huanxingapp.com/xieyi/qmp/yinsi.html
扫描王全能宝,https://www.camoryapps.com/saomiaoyi/privacy_policy/saomiaoyi_xiaomi.html
觅康智能,https://www.miansafe.com/service/privacy
便捷录音,http://bjly.hyxkb.com/privacy
测速高手,http://baby.dadawh.com:1807/network.html
欧朋浏览器,http://dap.oupeng.com/privacy_eula.html
趣步运动赚钱,http://www.huanchangxinxi.cn/privacy.html
灜沣,https://platform.yingfeng365.com/page/H5/agreementPrivacy.html
电讯云网咖-掌上云电脑,https://www.dxywk.com/agree/privacy-agreement
随身保典,https://www.ibaodian.com/mingya/agreement.html
京东京造,https://images.tuyacn.com/app/html/JDJZ-privacy.html
棒棒手记,http://www.bibibetter.com/yingsichengce.html
半时,https://www.h2o2.top/ot/app/privacy_policy.html
Mind思维导图,https://mtaapi.com/static/statement/agreement_xiaomili.html
智能空调遥控器,http://filebase.wsljf.com/05d46118-f060-4121-afa8-416d19cf2813_f_yszcxm.html
掌上仪信通,https://m.instrument.com.cn/service/userseprivatel.html
掌上客如云,http://s.keruyun.com/protocols/privacy?zh_cn
交通驾考题库,http://wap.zqwzc.cn/single-page/privacy-policy?platform=jtjktk
车床圈,https://apithree.zaixun.wang/zaixun_latheapi//privacyPolicy.html
生物钟,https://www.kuwanapp.com/biorhythms/policy.html
逆象提词,http://hf.nxteams.com/prompt/document/ys.html
全能手机卫士,https://tianqitest-1258361781.cos.ap-nanjing.myqcloud.com/security_privacy_policy.html
空调遥控器大师pro,http://fanlouoss.ronggyuan.com/7cde372d-46b1-4fc7-808d-ebedc29efda6_f_yszcxm.html
壁纸神器,http://baby.dadawh.com:1807/wallpaper.html
东方展业-信贷员抢单工具,http://rm25190703.jzfkw.cn/?fromJzAllSite=true
宝宝起名八字取名,https://lian.lianaihuashuku.cn/yinsi.html
灵舌AI配音,http://py.keuuu.com/data/app/privacy-statement/隐私政策声明.html
手机一键降温神器,http://qszzz.cn/agreement/1p1pdvtx
往约管理版,http://www.jinwang.shop/serviceYinsiwendang.html
宝宝取名字,http://cms.fuguizhukj.cn/article/detail/bbqmyszc.html
LPR利率计算器,http://www.xunyixinxi.cn/privacy.html
空调万能遥控,http://www.yaokongqiapp.com/2
KCQ scooter,http://129.204.2.102:8080/kcqscooterprivacy.html
易匠维保,http://web.ejiang.vip/agreement/Agreement.html
通讯录同步助手,http://baby.dadawh.com:1807/contact.html
钥匙宝,http://oss.bj.liftguard.vip/img/ad/privacy.html
福斯曼,https://h5.foursmile.com/private.html
手机远程协助控制,http://app.cjkj.ink/remote/ys.html
一键转发精灵,http://www.bolanw1.com/res/bolan/htmls/conceal.html
一键清理管家,http://qingliguanjia.wukongclean.com//privacy_zc_xy.html
丫乎校园,http://baozikeji.net/api/index/content/type/security
京东快递柜,http://appapi.diyibox.com/jdregisterprotocol.html
51虚拟机,https://51xnj.com/?p=1038
群发器,http://cms.fuguizhukj.cn/article/detail/qfqyszc.html
生日提醒管家,http://baby.dadawh.com:1807/birthday.html
wifi信号检测,http://app.zlfc.mobi/app/com.zlfcapp.wifiscan/privacy.html
傲游6浏览器,https://www.maxthon.com/privacy/
壹好车服,http://serviceorder-admin.lunz.cn/ehcf-privacy.html
错别字识别,http://kuailu.ltd/my-txt-check-privacy.html
多号助手,http://txt.wuyeguo.net/info.dajinrong.virtual-2.html
食堂管理,http://www.smzypt.com/yssm.html
1号游戏交易-领福利号,https://www.axiyu.com/index.php/index/agreement_mj?tgid=aa0001002
手机定位他迹-找人,https://protocol.51niucard.com/qianniu-earth-privacyProtocol.html
手机搬家软件,http://hongdie.applinzi.com/dataswitch/midatasw.html
梦幻涂色书,https://cdn.ihandysoft.cn/shyn/apps/apkdiandian01/privacy.html
极WiFi,https://wifi.pr.qn.cdzyzs.net/policy/privacy_policy.html
视频保险箱,http://baby.dadawh.com:1807/box.html
Ai潮流,http://www.aiera.tech/privacypolicy/index.html
畅享微课,  https://web.luckyab.cn/cxprivacypolicy.html
公房管家,http://gfgj.lzgtzh.com/html/privacy.html
身所商户通,https://h5.newbody.net/agent/#/protocol?type=private&fromApp=1
X8沙箱,https://zh.x8sb.com/?p=1038
万连WiFi钥匙,http://www.tiantianyouhuiquan.com/html/yszc/wifiyswngjx/yszc.html
e家机械,http://m.ejiajx.com:810/ejiajx/cms/a/xieyi/2018/1101/1698.html?1541062320
推立益视频号助手-手机兼职赚钱,http://www.tuiliyi.com/app/protocol/privacy/
隐私保险柜,https://blog.csdn.net/bingo_xiaowang/article/details/108067231
哒哒天气闹钟,http://baby.dadawh.com:1807/alarm.html
好三由,http://47.99.74.13/images/agreement.html
家庭记账本,http://privacy.csweimei.cn/gp/privacy.html?appname=家庭记账本
北京通e个人,http://www.jingfuan.cn:8080/healthy/f/eBjtPersonal.html
一键换机助手,http://note.youdao.com/s/Ybl2leV1
斗图二维码生成器,http://ewm.hudonge.cn/ysxy/ysxy.txt
钛星人,https://img.jixunjsq.com/app/xy/yczc.html
picsew长拼图,http://note.youdao.com/s/33I8nJOE
隐空间,https://shouji.360.cn/ykj/help/privacyPolicy/index.html
