name,link
楼查查,https://www.chinasxit.com/file/userAgree/userAgree.html
薪房通驻场,https://app.xinfangtong360.com/agreement/secretDeal.html
大众点评,https://rules-center.meituan.com/m/detail/guize/2?activeRule=1
家盟系统,https://jm.sangeayi.cn/privacy_agreement.html
贴心天气,https://tianqitest-1258361781.cos.ap-nanjing.myqcloud.com/warm_privacy_policy.html
汽车之家车主版,https://wz.autohome.com.cn/private_info.html
薪房通,https://app.xinfangtong360.com/agreement/secretDeal.html
好运到万年历,https://www.luckycalendar.cn/user_agreement/
食谱大全,https://appweb.xiangha.com/vip/userPrivacy?isHasHead=2&appName=%E9%A3%9F%E8%B0%B1%E5%A4%A7%E5%85%A8
实况天气预报,https://static.2ktq.com/sktq/html/userPrivacy2019.html
东走西走微店,http://wdsjh5.dongzouxizou.com/pages/login/agreement
群蜜,https://www.syengine.com/yszc.html
饿了么商家版,https://ditty-base.faas.ele.me/safety-policy
917房产网,https://m.917.com/wx/register.html?act=Privacy_policy
舒适云,https://iot.hosjoy.com/iot/userAgreement
把把物联,https://mall.babaznkj.com/index.php/2021/05/19/yinsi/
手心天气,http://tianqi.leeryou.com.cn/about/privacy/shouxintianqi.html
宏泉亿家,https://wuye2.myyll.com/asserts/privacy-policy.html
好想住房东端,https://www.lianjiakeji.com/elandlordsvr/protocol/protocol.html
猪客之家,http://zkh5.zhukezhijia.com/html/agreement/contract.html
福耳摩思,https://gdzb.114.fm/yszc.html
好美天气,https://h5.jiandantianqi.com/event/jizhun/rule/privacyPolicy.html
今往上门服务,http://home.jinwang.shop/hp.html
一马领鲜,https://system.hhdcs.com/yinsixieyi.html
景东百姓网,https://m.ynbxw.net/protocolcontent?name=%E9%9A%90%E7%A7%81%E6%94%BF%E7%AD%96
无忧经纪人,https://yunjinji.cn/one-web-yjj/v1.0/protocol?code=PRIVATE&system=android&model=phone&appId=public
晴天钟,https://astroweather.cn/privacy.html
超级社区,https://userapi.icjsq.com/secret.html
美团外卖,https://rules-center.meituan.com/rules-detail/137?commonType=7
智慧慕思,https://down.derucci-smart.com/html/elf/v2_1/html/userAgreements.html
兔子点餐,https://toxkan.xenje.com/public/privacy.html
车速拍,https://app.chesupai.cn/privacy.html?key=openWebview
秦务员,https://zwfwxtzx.shaanxi.gov.cn/open-h5/sx_zw/#/privacyPolicy
躺平,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_taobao/suit_bu1_taobao202101191412_38358.html
吃货笔记,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_uc/suit_bu1_uc202103151635_64238.html
联了么,https://phpapi.xcthings.com/static/yszc.html
mFood,https://m.mfoodapp.com/user-privacy-policy/index.html
学旅家Student.com,https://cn.student.com/terms/privacy
一起装修,http://www.17house.com/privacy_policy.html
乐惠社区,http://220.179.232.175:8083/h5/privacyPolicy.html
安家GO-买卖新房二手房租房,https://public.uj.cn/cancellation/privacy?source=anjia
高创汇,http://gch.sd-gcjt.com/
巧燕筑家,https://qyzjpano.oss-cn-hangzhou.aliyuncs.com/app/privacyPolicy.html
七彩天气,http://m.uquba.net/Conceal/Weather
飞鼠跑腿,http://81.70.158.45:8082/fspt/xieyi.html
营多多,https://vip.yalalat.com/cluster_member/upfile/files/protocol/ydd-user-privacy-protocol.html
金盘网,https://www.kinpan.com/help/legalnotice
随申办市民云,https://api.eshimin.com/privacyPolicy/privacyPolicy/toPrivayPolicy
自在湘潭,http://www.besthuishenghuo.com/statement.html
驾驶证查询,http://ys.euapi.cn/jiashizheng/jiashizhengyinsi.htm
凯迪仕智能,http://www.kaadas.com/others/policy.html
万年历黄历,https://www.bluecrane.cn/android/private_album/web/privacy_policy.html
掌厨智能菜谱,http://h5.izhangchu.com/app/explain.html?app=6&type=1
灵猫,http://show.easyh2h.com/show/privacy/newprivacy.html
为你智能,http://wlnmhsh.com/privacyPolicyByPublic
业生活,http://qiliukeji.com/staticPage/UserServiceAgreement.html
全美食,https://app.qms888.com/w/agreement/privacy.html
飞利浦水健康,https://s3.cn-north-1.amazonaws.com.cn/prodappconfig/9c3b124649fa11e98b6e02461a5b364e/CN/privacy_policy.html
松鼠速客,https://o2o.91joylife.cn/privacy.html
奥利给日历, http://www.aoligeirili.com/html/yinsibaohuzhiyin.html
多看天气,http://data2.funhan.cn/conceal_duokan.html?app_id=1
绿地G优,https://h5.gkewang.com/crmh5/#/jkt/doc/company/privacy
微鲤天气-天气预报,http://yun.zhwnl.cn/privacy_wltq.html
咻咻开门,https://admin.lppstore.com/privacy/xiuxiu
左管家,http://shop.sh-zgj.com/%E5%B7%A6%E7%AE%A1%E5%AE%B6%E7%94%A8%E6%88%B7%E9%9A%90%E7%A7%81%E6%94%BF%E7%AD%96.html
天气预报播报员,http://42.121.107.165/weather/ys.htm
e城e家,http://attach.ecej.com/agreement.html
2345天气王,http://waptianqi.2345.com/privacy.html
省点,https://static.waitwaitpay.com/web/policy.htm
和家网,https://m.51hejia.com/pages_my/mobileLogin/customerAgree/customerAgree?type=2
米家,https://g.home.mi.com/views/user-terms.html?locale=zh_CN&type=userPrivacy
左管家商家端,https://shop.sh-zgj.com/content.html?type=2
东方美食,http://hou.easteat.com/index.php
万众物业,http://www.jzsoftware.cn/guanyuwomen/yinsizhengce/2021/0323/135.html
筑住帮,http://zzj.sz-bolong.com/PrivacyPolicy.html
蜂喔,https://m.laijian100.com/staticH5/fengwo.html
NutriU,https://www.philips.com.cn/a-w/mobile-privacy-notice/nutriu.html
左管家技师端,https://shop.sh-zgj.com/content.html?type=2
一步e家用户端,https://admin.yinweish.com/agreement.html
太屋网,http://www.taiwu.com/agreement
好生活经纪人,https://page.lifeat.cn/#/brokerProtocol
Roborock,https://files.roborock.com/iot/doc/d2724d7cccab44febe15f6987ebb6ffa.html
房友圈,https://apifang.centaline.com.cn/h5/static/agreement.html
蓝牙智控灯,https://cloud-oauth-usa-acf15bd5.ibroadlink.com/cloud-blewxwebui-2126-privacy
当代万年历,https://www.ddwnl.com/privacyPolicy.html
精准实时天气预报,http://oss.flytutu.cn/ff69fdcb-287b-439f-bcb7-5e1a1a832c48_f_xiaomi.html
智慧八方,https://www.csqf001.com/zhbf_admin_h5/views/PrivacyPolicy_zhbf.html
一宝,https://resource.ebo.enabotserver.com/statementHtml/ebo_privacy_policy?lang=cn&node=nodeOne
诺享会,http://nxha.qcnxh.com/m/content/ContentDetail?type=yssm
彩之云,https://m.colourlife.com/xieyiApp/protocol
饿了么,https://h5.ele.me/service/agreement/
实时天气,http://www.dylandev.top/app/privacy.html
苏州住房服务,	 http://zjapp.szzydb.com/app/#/yszc
招财拍,http://www.zhaocaipaipai.com/privacy-agreement.html
联每户,http://www.lianmeihu.com/agreement/
江子服务,https://projectfiles.jzwmyl.com/privacy/Privacy-policy%2020V1.0.html
赶集找工作,https://static.58.com/git/zp-ganji/app-agreement/privacy.html
自在武汉,http://www.besthuishenghuo.com/statement.html
享乐会,https://vip.yalalat.com/cluster_member/projects/yalalate-h5-activity-view/privacy.html
联创E家,https://www.ishareonline.cn/product_app.asp?pid=32
芒果在线,https://www.517.cn/xinwen/privacy/?from=Android
上海中原,https://cms.sh.centanet.com/app/policy/privacyPolicy.html
恒惠房,https://www.henghuifang.cn/Privacy/Privacy.doc
商有云管家,http://notify.zhanxiongbi.cn/app/
深i家, https://nh.jiayuan.ccbhome.cn/pages/mine/setting/privacyPolicy
蜗牛淘房,https://www.woniutaofang.com/advice.html
云智连,http://app.home.360.cn/static/botslab_privacy_agreement.html
爱墨迹日历,https://rubbish.yuanlikj.cn/yszc/my/privacy.html?appname=爱墨迹日历
