name,link
粉丝圈照片墙,http://www.yaxunguangpu.com/privacy/aiface_privacy.html
PicsArt美易照片编辑,https://picsart.com/zh/privacy-policy/android
滤镜君LR图片视频滤镜调色大师,https://res.guangzhuiyuan.cn/common/web/privacy.html?name=Koloro图片视频LR滤镜调色大师
视频拼接剪辑,https://app.yinxiang.com/fx/496847b2-2663-4ff3-b27f-862cc9129e92
视频编辑软件,http://api.xbs-soft.com/appManage/app/article/u/protocolInfo?protocolId=51dfd117da214d21bd31568398702575
特效视频,http://public.zsyj.com.cn/website/zh-CN1.html
多闪-用相机给朋友发消息,http://maya.ppkankan01.com/static/privacy/
视频转换器-视频压缩,https://cdnzonestatic.enjoy-mobi.com/privacy/Terms_of_Use_Agreement_and_Privacy_Policy_VidCompact_cn.html
网易亲时光,https://reg.163.com/agreement_mobile_ysbh_wap.shtml?v=20171127
短视频制作,https://document.adesk.com/v1/document/5f8d321743186122e6da92f8
剪辑视频,http://www.maoyingaipu.com/page1.html
笔盒视频制作Bger,https://warmcolor.cn/H5/BgerPrivacy/privacypolicy.html
美拍,https://api.meitu.com/privacy-policy/index.html?lang=en
佐糖玩图,https://www.apowersoft.cn/wantu-privacy
剪映,https://lv.ulikecam.com/clause/policy/pro
去水印全能王,https://copy-book.oss-cn-hangzhou.aliyuncs.com/link/QuShuiYin/privacy-policy.html
抠图合成,http://android.ppcczz.com:8080/watermark/policycutoutpsyinsi.html
腾讯相册管家&mdash;照片备份,http://www.qq.com/privacy.htm
修图相机,http://www.58100.com/privacy-app/xtxj.html
一键去水印-视频去水印,http://www.lumingtec.com/index/agree
美颜滤镜P图相机,http://yanmenyun.com:27016/secret/yanm
计算机证件照,https://id-photo-verify.com/privacy-jsjzjz/
轻颜相机,https://sf1-hscdn-tos.pstatp.com/obj/ies-fe-bee/bee_prod/biz_9/bee_prod_9_bee_publish_700.html
去水印短视频,http://www.bluedragon.mobi/privacy.html
来画视频,https://www.laihua.com/mobile/agreements/privacy
色采,https://colorcollect.cn/privacy/
蓝松视频编辑,http://www.lansongtech.com/h-col-110.html
一甜相机,http://h5.getkwai.com/yitian/app/policy
AI特效相机,http://oss.file.changliuabc.com/c98ef0ee-0d3e-490b-98ab-3cbbd427c813_f_xiaomi.html
最美一寸证件照制作,http://www.qihe.website/yinsimoban_zzj_qihe.html
私密空间,http://www.fangdingtech.cn/c0a00cfb-e209-4fb7-9319-9eae7b5c0ab4.html
视频小组件,http://haohanxingji.xyz/downup.html
天天P图,https://privacy.qq.com/
影视视频制作,http://treaty.loveclip.site/html/douying_ys.html
智能证件照相机-专业证件照制作,https://api.shoujihuifu.com/wap_pay/privacy/shuojie/zh/privacy.html?soft_name=%E6%99%BA%E8%83%BD%E8%AF%81%E4%BB%B6%E7%85%A7%E7%9B%B8%E6%9C%BA&platform=android&packageId=com.hudun.idphoto&version=3.4.5
老旧照片修复,http://photo.dmool.com/photo_protocol.html
P图,https://www.panguoyun.com/yinsi/
趣卡点,http://rese-vi.oss-cn-hangzhou.aliyuncs.com/kadian/PrivacyPolicyc.html
易视云,http://www.e-seenet.com/privacypolicy/pp_cn.html
模卡,https://www.weimoka.com/m/about/private
VUE视频制作,http://supersda.com/hangye-id-184.html
相册大师,http://jalbum.angogotech.net/xcds.html
亲拍,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_other/suit_bu1_other202009291248_69485.html
型男相机,https://ch.circle520.cn/?r=Index/UserPrivacy
工作水印相机,http://oss.flytutu.cn/e82e0b64-536c-4991-a479-0a1c026d77a3_f_yszcxm.html
秒剪,https://miaojian.wxqcloud.qq.com/privacy.html
小蚁摄像机,http://www.xiaoyi.com/app/policy_chn.html
智慧影楼,http://api.haixiaofeng.com/upload/wisdom_studio_api/yhxy/ysxy.html
抠图P图秀,https://www.camoryapps.com/moreapps/privacy_policy/cutphoto/policy_cn.html
美啦相机,http://www.yuansapp.com/ppysa.html
动态照片,http://policy.nw0dx.cn/privacy/index/label/dongtai_privacy
拍照识花神器,http://www.nbmjgroup.com/PrivacyPolicy/pzshsq.html
换发型,http://1hea.gitee.io/fishshow/hairprivate.html 
剪辑猫-视频一键去水印,http://static.fuguizhukj.cn/protocal/jianjimao/jjmyszc.html
最美证件照,https://www.camera360.com/privacy_idphoto_zh_cn.html
快易私密相册,https://www.iphotovault.cn/privacy.html
去水印精灵,https://app.fntmob.com/uploads/file/POLICY_QSY.HTML
电影视频剪辑,https://www.easyfeng.net/vss_ios/privacy_dy.html
留影-音乐相册制作,http://ly.okmyapp.com/app_privacy2.html
照片美图拼图,http://hongdie.applinzi.com/pingtu/hepingtuagreement.html
视频抠图,http://www.bdk5.cn/zh-CN4.html
自拍美颜拼图相机,http://www.shandongyouyi.cn/yingyong/youyizpmyptjysxieyi.html
轻剪-视频剪辑一键成片,https://entertainment.dji.com/privacy
慧眼识图,http://m.uquba.net/Conceal/ImageDetect
抖山短视频,http://www.doshan.net/privacy/index.html
特效神奇相机,http://s.file.shanghaijycom.com/a35f4f47-c68e-47e2-a777-e7afe59c244b_f_yszcxm.html
影剪辑视频编辑,http://jianyi.zkhcsoft.com/appManage/app/article/u/protocolInfo?protocolId=b81d6f148bc34e27bf6e58d1b8aabead
一寸证件照制作,http://www.id-photo-verify.com/privacy-yicun/
美易P图照片编辑,http://yanmenyun.com:27016/secret/yanm
应用隐藏,http://www.qiutinghe.cn/63b77ebd-1c60-4a20-968f-06d8589bf7dd.html
哪拍网,https://www.17npw.com/web/privacyPolicy/index.htm
魔力小组件,http://ossfile.pangbaoapp.com/3d9900e8-8116-4b96-9cf0-cf7b82c77d72_f_xiaomi.html
沙拉-视频卡点Vlog制作神器,https://www.saladvideo.com/project/protocols/privateProtocols
乐秀视频剪辑器,https://cdnzonestatic.enjoy-mobi.com/privacy/privacy_policy.html
长图拼接大师,http://new.ziti2.com/privacy.html
漫芽糖涂色,http://www.manyatang.com/agreement/privatepolicy.png
身份证件照,http://www.fangdingtech.cn/privacy.html 
视频剪辑制作,http://video.yiyi9.cn/images/yinshi1.jpg
相机360,https://www.camera360.com/privacy_zh_cn.html
漫芽糖简笔画,http://paint.manyatang.cn:51702/sketch/privatepolicy.png
青柠设计-微商海报简历Logo,https://share.laidianxiu.top/other/privacy_policy.html
糖图作坊-修图美化,http://www.angogo.cn/newdoc/ttzf/106/privacy.html
抠图宝,http://www.koutubao.vip/privacy/
网家家企业版,https://wjj.ys1.cnliveimg.com/term/cnBYszc.html
活照片,http://www.avatarworks.com/termsofservice/privacy.html
图片拼接拼图,https://bmob-cdn-18039.bmobcloud.com/2019/08/24/103b53334076f47880fc3a3bfec26da0.html
原生相机,http://note.youdao.com/s/HCmegkDX
Shadow,https://www.hzxsrobot.com/shadowPrivacy
美绘-手绘视频动画App,http://www.meihuiapp.cn/privacyPolicy
不咕剪辑,https://activity.versa-ai.com/rules/filmEditingRules
GIF动图制作,http://android.ppcczz.com:8080/watermark/xieyi/privacypolicygifyinsi.html
七彩来电秀,http://ilovevideo.cn/callshow-front/agreements/privacy-policy-qcldx.html
最美,http://www.dagaohan.com/privacy-zheng.html
全能微商截图王,https://early.rhinox.cn/privacy.html
美的你,https://www.imacco.com/user_agreement.html
Q版卡通头像设计,http://www.ernianbo.cn/99209125-04cb-4912-8001-004b03d213f9.html
三只眼,https://www.17npw.com/web/privacyPolicy/index.htm
美册-视频编辑剪辑制作,https://www.vcore.hk/aboutus/PrivacyPolicy.html
微商相册管家,http://www.lanpingtech.cn/48d40253-1bba-463f-8ae4-9971824ca3da.html
鲲图,http://www.xinhuanetvr.com/article/18.html
图影视频剪辑,http://treaty.loveclip.site/html/ty_ysxy.html
爱美照,https://www.aimeizhao.cn/amp_private.htm
七彩相机,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=110801
时空印,https://www.atimespace.com/productManual/Agreement.html
对椒约拍,https://www.sgkji.com/index/index/privacypolicy.html
享图,http://www.jiyishunjian.com/Privacystatement/privacy.html
视频剪辑编辑软件,http://jianyi.zkhcsoft.com/appManage/app/article/u/protocolInfo?protocolId=51dfd117da214d21bd31568398702575
爱提词,http://www.aitici.com/index/index/rule
3D魔秀-AE特效大片制作软件,http://img.3dmoxiu.com/PrivacyPolicy.html
可映,https://keying.2345.com/static/privacy.html
尴尬相册,http://www.satogame.com/privacy/privacy.html
今日水印,http://www.maoyingaipu.com/page1.html
最美证件照专业版,https://id-photo-verify.com/privacy-zmzjz/
天天装扮,https://static.2ktq.com/web/policy/dress_privacy_policy.html
百变秀相机,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=110101
抠图P图,http://www.jeacoa.com/privacyPolicy/
轻松易播,https://www.1boapp.com/portal/user/privacy_protocol
糖拍-轻松做视频,https://www.tangpai.cc/static/privacy.html
私密相册加密,http://simi.qsyxz.com/about/explain.html
趣制作,http://public.szsszykj.com/qudao/20190827admin_apk_5d6495d21e60b.html 
换脸P图助手-修图,https://h5.8fenyi.cn/privacy/index-cn.html?appId=1350001896938958850
游戏录屏,http://www.yxluping.com/hcyd/yxlp/privacypolicy.htm
视频免费去水印,https://m.weibo.cn/status/4546278811772157
视频加字幕,https://www.easyfeng.net/vss_ios/privacy_qx.html
图片压缩大师,http://new.ziti2.com/privacy.html
亦乐,https://yilevip.com/yinsi/index.html
打卡相机,https://www.dakaxiangji.cn/#/privacy-policy
百变特效相机,http://static.bjprxd.com/html/bbtxxj/html_privacy.html
照片合成,http://www.suoqingning.cn/a3c3319b-8eec-4a81-8a4b-7242e8246131.html
乐咔相机,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=110102
鲜檬云摄影,http://14.18.113.42:8188/protocol?tabs=privacyPolicy&RH=58d6ade0
爱动漫壁纸,http://39.97.238.221/lovecomic/html/privacy/lovecomic.html
最美证件照制作,http://www.id-photo-verify.com/privacy-zuimei-personal/
抖画-手绘头像,http://oms.vliuliu.com/api/common/p?v=regprotocol&vappid=ANDR010000000009
皮皮动画,https://h5detail.ixiway.com/protocol.html
今日水印相机,https://www.xhey.top/policy
必剪,http://member.bilibili.com/studio/annyroal/bcut/private_protocol
神奇相机,https://docs.qq.com/doc/DVHZaVHJ2QUVjbXly
一幅相框,http://www.fuiframe.art/fui/user_private
视频合并,http://p.xuanmeikj.com/videocut/yszc1.html
爱剪辑,https://www.bestkids.net/m/hd/ijjPrivacyPolicy/index.html
极简老照片修复,http://115.29.48.226:8792/
快剪辑,http://cdn.box3.cn/kjj_privateagreement.html
魔音相册,http://v.9man.com/tip/privacypolicy-moyinxiangce.html
图片编辑大师,https://www.szshht.cn/info/UserService/img_ys
透明壁纸,http://aliyunoss.doupingit.com/e287a445-2048-4710-9be9-8314241bdb74_f_xiaomi.html
抖音极速版,https://www.douyin.com/agreements/?id=6773901168964798477
水印,https://www.szshht.cn/info/UserService/spjjw_ys
小时尚-ins图片下载免费,https://kongque.twan.cn/yinsi.html
手绘视频制作,https://www.easyfeng.net/handdraw/privacy.html
古装相机,http://note.youdao.com/s/ArSPR4s1
老照片修复神器,http://coin.makingmoney.cn:8088/html/newprivate?bid=com.beemans.photofix
图片视频制作,http://www.popular-movie.cn/index.php?m=text2&a=index&classify_id=277
一键设计斗图表情,http://sign.5mapk.com/html/ps_private.html
探店,https://clientele.qudaowuyou.com/privacy
人生照相馆,http://8.129.75.95:8080/
Onecam,http://mm.cloud.aiall.top/app/html/PrivacyPolicy.html
节奏酱,http://xy-hybrid.kakalili.com/web/h5template/cb3d9356-82b4-4bda-848e-4468a740577c-language=zh-CN/dist/index.html
抖影剪辑视频编辑,https://mp.weixin.qq.com/s/tCU14QW2yeP0OGFqfqOq2g
美图秀秀,https://pro.meitu.com/xiuxiu/agreements/common/policy.html?lang=zh 
傲软抠图,https://www.apowersoft.cn/background-eraser-privacy
Facetune 2 - 自拍美颜修图软件,https://static.lightricks.com/legal/Lightricks-Privacy-Policy-China-30-08-2020.pdf
in,http://www.in66.com/static/privacy.html
秒拍,https://n.miaopai.com/state/privacy  
微美颜,https://www.gangduotech.com/index/about/view?id=15
麻豆约拍,https://m.mdyuepai.com/m/about/private
乐秀录屏大师,https://cdnzonestatic.enjoy-mobi.com/privacy/VRecorder_cn_Privacy_Policy_home.html
PS图片修图编辑,http://www.popular-movie.cn/index.php?m=text2&a=index&classify_id=271
海报设计工厂,http://ys.xiazai63.com/
潮自拍,https://pro.meitu.com/selfiecity/?lang=zh
照片快冲印,https://rubbish.yuanlikj.cn/yszc/gy/privacy.html?appname=照片快冲印
PS图片编辑器,http://www.popular-movie.cn/mobile.php?m=text2&a=index&classify_id=249
爱剪辑手机版,http://treaty.loveclip.site/html/dgsp_ysxy.html
美化小组件,http://survey.szsszykj.com/api/Protocol/detail?id=82
拼图拼长图,http://yinsi.juhe62.com/ 
Canva 可画-制作海报logo设计图,https://about.canva.cn/privacy-policy/
aTLi相机,http://service.atliv.com/privacy/
海马体照相馆,https://m.haimati.cn/app/index.html#/privacyPolicy
唯美证件照制作-一寸二寸证件照, http://zjz.hudonge.cn/xy/ysxy.txt
证件照研究院,http://www.id-photo-verify.com/privacy/
快影,https://ky.kuaishou.com/protocol/privacy/CN
家庭相册管家,http://moni520.com/user/privacy_policy.html
免费证件照,https://daduhui.oss-cn-shanghai.aliyuncs.com/api/zjz/xieyi.html
美颜自拍,http://mobile.xiaoyanbot.com/getAgreement/?package=com.master.camera&type=1
玩美彩妆,https://www.youcamapi.cn/stat/BeautyCircle/chs/privacy.html
小精灵美化,https://hd.xjl.nineton.cn/secrets/secrets.html
安卓录屏,http://www.buguyuan.cn/app/privacy.html
AR快闪相机,https://www.bianplanet.com/yinsixieyi-yonghuxieyi.html
剪影,http://web.mediaeditor.cn:8081/android/privacy-jianying.html
FIFISH,https://www.qysea.com/terms-of-service.html
报名证件照,https://www.id-photo-verify.com/privacy-ckxj/
图凌,https://bmob-cdn-8442.bmobcloud.com/2019/09/02/31c3c1c84088678880020bc08ebc2964.html
纸塘壁纸,https://ztwallpaper.ninefrost.com/h5/user_privacy.html
视频豆豆视频剪辑,http://47.105.73.234/privacy_videoae.htm
Protake,https://protake-static-ec.dafork.com/privacy_cn.html
大神去水印,https://dashen-api.shuiyinyu.com/m/config/privacy
NOMO,https://nomo-cdn-ec.dafork.com/privacy_cn.html
证件照拍照-证件照,http://asthewind.com/privacy/
超酷来电秀,http://api.mihuange.xyz/shuiyin/dld_privacy.html
图片合成,http://www.maoyingaipu.com/page1.html
证件照片编辑,http://www.fishin2boat.com/pp/
闪光视频 - 自动添加潮酷贴纸,https://www.shanguangshipin.com/privacyPolicy
剪辑制作,http://www.tiantianyouhuiquan.com/html/yszc/spjjds/yszc.html
MAKA设计-海报H5邀请函制作,https://maka.im/datastory/privacy/privacy.html
照片编辑拼图-拼图,http://web.niuniutec.top/pp
Ai智能抠图软件,http://rubbish.yuanlikj.cn/yszc/hw/mc/aiznkt.html
美颜证件照相机,http://api.cameramagic.shunmakeji.com/util/private/shunma/id_photo_camera.html
动感相册,https://pay.17ll.com/apply/login/privacyAgreement.html
视频剪辑专业版,http://www.satogame.com/privacy/privacy.html
一寸照片生成器,https://id-photo-verify.com/privacy-ycz/
