name,link
阿里云盘,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_alibaba_group/suit_bu1_alibaba_group202102022125_53871.html
沸思电销外呼,http://m.fin-think.com/privacy.html
荧鳞,https://payree-pro.oss-cn-shanghai.aliyuncs.com/app/Service_Agreement.html
知识岛,http://www.zhishidao.com/yszc.html
钉钉,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_dingtalk/suit_bu1_dingtalk202010070946_49604.html
纳职,https://m.nazhi.com/dev/dev.html
人保V盟,https://m.epicc.com.cn/privacy_policy.html
surfbox管理端,https://szsfbzhyq.vpclub.cn/h5/userAgreement.html
WorkLife,https://appreview.ecosaas.com/
大疆农服,https://www.dji.com/policy
快叮,http://kd.treefog.com/privacy.html
云掌柜,http://www.360pms.com/privacy/note.html
车队管家司机,https://www.cheoa.cn/user_conceal.html
企查查-企业查询,http://share.qichacha.com/pro/app_13.5.2/features/private-policy.html
HR COE,https://xcx.hryun818.com/mobile/info.html#/
云工,https://m.yungong.com/notice/agreement
闪速录音转文字,http://www.kuohanco.com/h5/app46/user_private.html
OS零售,https://sale888.cn/privacy
good note笔记,https://note.youdao.com/s/5j7YbdCL
万能扫描大师,https://scanner.lanshan.com/protocal/privacy.html
E招通,http://eap.paas.cmbchina.com/EAPPortal/ptcFile
i企服-企业信息查询体检工具,https://www.zgxmall.com/article/articledetail?articleId=37
店宝贝助手,http://www.cn2b2c.com/gsf/img/v/dbbHelper.html
Pro-A Tech,https://axbucket01-10066809.cos.ap-shanghai.myqcloud.com/upload/protocol/PAT_BSD_PS03_隐私政策_V1.3.180827001.pdf
江苏金服,https://app.jssjrfw.com/download/yszc.html#/
树蛙兼职,http://www.xyxtrz.cn/yyy.html
上邻,https://h5.xdqtech.com/postContent?id=109
万能扫描王,https://www.ideack.com/privacy.html
课师宝,https://www.91renrenshi.com/app/agreement.html
会小二帮,https://salesapi.huixiaoer.com/view/protocol
实习僧,https://www.shixiseng.com/rule
展多多,https://www.yishuatec.com/app-agent/special
扫描王OCR,http://www.bhjsoft.cn/scankingprivacy.html
全国光伏监测,https://gffp.esgcc.com.cn/gffp/web/shengming.html
来货拉,https://ccpweb.vip56.cn/ccp/privacypolicy/License.html
兼职达人,http://www.xastrz.cn/yyy.html
快易车-智能车务,https://carsaffairs.dth618.com/upload/dthPrivacy.html
汇享管家,https://www.had-ins.com/policy.html
捷付合伙人,https://mpartner.mgm-online.com/agreement?rid=2
扫描全能王,https://www.camscanner.com/app/privacy
企业环保通,http://www.newhero.com.cn/eportal/hb/hbtyszc.html
趣蚂蚁兼职,https://qmy.qumayi.cn/h5/#/pages/user/help_detail?id=162
云驼服务,http://app.51yuntuo.com/privacyPolicy.html
智慧卫生监督,https://www.ilabservice.com/privacy.html
魔方圈,https://www.tops001.com/asset_m_cube_app_use_privacy.htm
专利大王,http://coop.incopat.com/appservice/resources/privacy_agreement.html
伙伴云,https://www.huoban.com/treaty.html
优企汇,http://zzx-pad.everestner.com/yszc.html
Forest专注森林,https://www.forestapp.cc/privacy/
文旅双预防,http://lywl.hnzhxxjs.com:8886/syf/yszc.html
腾讯会议,https://meeting.tencent.com/privacy-policy.html
搜贤,https://www.51soxian.com/interface/api/app_register_protocol.html
湖南人才网,http://www.hnrcsc.com/html/201912/29059.html
自律养成,http://h5.skyingidea.com/autonomy/privacy.html
电销助手,http://czres.hnczkj.cn/dxzsxy/numberUserPrivacy.html
普咚展业-信贷销冠助手,https://h5.shanying-inc.com/eros-smartlink/universalPage/protocol/?type=private&from=com.pudong.ios
云沃客,https://www.clouderwork.com/legal/privacy
车商猫,http://zt.emao.com/201810/CSMYSZC
葫芦-生活记录日记本,https://hulucc.com/privacy.html
律鸽问律师端,http://api.lvgewen.com/promote/privacyAgreement/user.html
再之桥,https://oss-platform.zaizhiqiao.com/system/global/privacypolicy.html
百观新闻,https://vapp.tmuyun.com/webDetails/userPrivacyPolicy.html?tenant_id=44
律鸽问律师-专业的法律咨询平台,http://api.lvgewen.com/promote/privacyAgreement/user.html
知丘,https://www.kanzhiqiu.com/privacy.html
金盛云,https://www.jinshengyun.cn/faguizc.html?fg_id=19
石墨文档,https://shimo.im/agreement
坚果云,http://help.jianguoyun.com/?p=3961
搜电合伙人,https://www.privacypolicies.com/privacy/view/5094a52f3110f89fbed6e593d7de8949
易梯安装企业版, http://yixiuti.com/PrivacyStatement.html
百家号,https://baijiahao.baidu.com/docs/#/argument/PrivacyPolicy/
黑光人才网,https://mhr.heiguang.com/reg/services/?type=service
17PDF阅读器,http://www.17pdf.com/privacy
中能联合,http://www.cceup.com/yinsi
超级账号,https://menkor.com/privacy
掌上腾云,https://shimo.im/docs/o6FoJJie0G4FLqlr/
新航道EAS,https://axure.xhd.cn/eas/protocol.html
工程管理,https://www.zhijiancloud.com/%E9%9A%90%E7%A7%81%E6%94%BF%E7%AD%96-2/
国网云电话,https://www.lefns.com/icall/upp.html
农事帮-农忙就用农事帮,https://docs.qq.com/doc/DTFlTQnRPcEJKd2RR
聊天宝客服助手,https://www.bangkefu.com/term.html
腾讯文档,https://privacy.qq.com/
力格云ERP,https://app.ligesoft.com/webapp/html/app/appUserAgree.html
注塑云,http://www.zhusu.cloud/#/privacyPolicy
国机集团差旅,http://rs.517na.com/app-source/secretPolicy.html
百城招聘,http://about.bczp.cn/UArticle/index.aspx?id=3
红圈通,http://gg.hecom.cn/h5mobile/static/privacy.html
云筑工匠,https://lwres.yzw.cn/labor/laborx-app-privacy.html
智慧兴隆,http://39.107.69.61/yszc.html
1919掌上门店,https://1919-react-static-prod.oss-cn-beijing.aliyuncs.com/parnter/html/userPrivacy.html
全能扫描王免费版,http://www.gkocr.com/web/privacy.html
职池工作-同城招聘找工作,https://app.jobpoolhr.com/h5/page/integralRule.html?richtext=userAgreementRegistrationTermsOfService
海运在线,https://shipping-news.marineonline.com/index.php/privacy-policy/
小法名律,https://ilawpush5.aegis-info.com/exemption
鱼泡网-建筑招工找活记工软件,http://m.yupao.com/privacy-agreement/
百城招聘HR版,http://about.bczp.cn/UArticle/index.aspx?id=3
PB日报,https://bi.pbwear.com/peacebird5_8/privacy.html
店来客生意通,http://blog.sina.com.cn/s/blog_176d6f1c30102y10d.html
小海带,http://www.xhd2020.com/arguments.html
中交天运司机端,https://tms.oceangreate.com/df/prot/privacy.html
好签,https://www.wellsign.cn/home/files/yinsi.pdf
九讯云,https://www.9xun.com/doc/privacy-agreement
智讯餐饮点菜宝,https://weibo.com/ttarticle/p/show?id=2309404295349022890912&is_all=1#_0
建设云,https://app.jiansheyun.com.cn/AppHelp/Policy/View/Service.html
金塔,https://www.zhundao.net/service/help/detail/207
管家物业,http://shequguanjia.vue.91dgj.com/vue/privacyProtocol
章鱼抄表,http://www.zychaobiao.com/privacy
智讯会员管理系统,http://www.51jxc.cn/zxhyyszc/huawei.html
办公易,https://sem.kaishing-china.cn/office/sch/privacy/index.html
君臣论-臣子,https://www.junchenlun.com/secret/secretcz.html
日刻,https://www.kairusi.com/rike-privacy.html
薪孵化,https://hatch.bndxqc.com/pages/private.html
纯纯写作,https://gitee.com/PureWriter/resources/raw/master/PrivacyPolicy.md
共享货源,https://gz.aliyizhan.com/yunLogin#/xieyi?title=共享货源&type=2
水芯云,http://www.waterchip.cn/privacy.html
君臣论-君主,https://www.junchenlun.com/secret/secretjz.html
专注笔记,https://focusnote.com.cn/#/Privacy
优刻服务商端,https://yklb.youkelb.com/privatepolicy.html
企爸爸,http://m.7baba.cn/h5/pages/user/privateProtocol/privateProtocol
Zoom,https://zoom.us/privacy
简约费控,https://www.cloudpense.com/privacyagreement.html
工作来了,https://broker.gongzuolaile.com/sharing.html#/agreePrivacy
派件助手,https://www.baixingkankan.com/web/protocol.html
一掌控,https://www.omso2o.com/yinsiquan.html
360点睛,https://e.360.cn/static/webfront/html/special/privacy-policy.html
慧算账,https://www.kungeek.com/legal/pd/appaccount.html
TeamViewer,none
简约思维,http://www.briefmind.xyz/privatepolicy.txt
庆阳人力资源网,http://www.qyhr.org/about/privacy.html
抢单多多,https://www.xindaike.com.cn/creditUnion/djdPC/PrivacyPolicyD.html
Teambition,https://www.teambition.com/privacy
旅行背包,http://yunlin-huang08.gitee.io/privacy/
图片转文字识别精灵,http://www.6874561.com/image/privateAgreement/
赢商网,http://www.winshang.com/help/help_7.htm
药丁,https://www.yaoyh.cn/report/private_policy.html
齐心印章管家,https://qxn.oss-cn-shenzhen.aliyuncs.com/doc/privacy.html
全能扫描软件,https://www.wordscan.net/cn/ws_privacy?app_bundleid=com.ws.lite.worldscan
滴答清单,https://dida365.com/about/privacy
纪念日,https://www.camoryapps.com/moreapps/privacy_policy/countdays/policy_cn.html
建易通,http://manager.jianyitong.com/#/entrance/login
车e估企业版,http://cegapp.api.cheegu.com/h5/document.aspx?$=20
探迹,https://www.doncus.com/m/privacy/
小安保典,https://lics.ampib.com/app/#/privacy
乙方宝招标,https://weixin.qianlima.com/yfbApp/index.html?version=20180116&firstcom=1#/user/privacyPolicys
政务微信,http://113.96.208.183:10048/privacy?mobile=true
胜券在握,http://static.sqzw.com/sq-app-privacy.html
CreAiT,https://www.longleding.com/privacy
海拍客销售版,https://market.hipac.cn/s/page/privacy-policy.html
讯飞文档,https://iflydocs.com/h/agreements-privacy.html
建识,https://www.archknowapp.com:8001/Archknow/sites/privacy_policy/
批发帮,https://webpage.pifabang.com.cn/regist/Privacy.html
优装助手,http://www.dikontech.com/pages/Privacypolicy/yzzs.html
亚威智云,https://platform.yaweicloud.com/auth-login/declaration
职业树-资深HR免费诊断简历,http://img.hrclass.com.cn/uploads/20210415/zysyx.docx
魁钉,https://www.qucdin.com/privacyAgreement.html
账款管家,https://app.zhangkuanguanjia.com/pc/registerprotocol
兼职咸鱼学生赚钱,http://hotbb.repinchen.cn/ysz-jzxy.html
辽宁专家服务,https://www.capass.cn/Avatar/ysxy.pdf
打零工,http://cms.dalinggong.com/static/privacy-agreement-personal.html
飞鸽点餐,https://feige.gephenom.com/documents/index.html#/privacy
冷杉云盘,https://firdrive.com/authorization.html
投标E通,http://www.zchzb.com/wxgzh/yszc-etong.html
都优商家版,https://www.tlduyou.com/customer/app/protocol/show.jhtml?userId=1&appId=2&type=policy
品呱呱工厂,https://www.pinguag.com/private-policy.html
电销电话,http://m.fin-think.com/service_se.html
多问律师端,https://b.duowenlvshi.com/static/protocol/privacy.html
信贷牛牛-信贷经理抢单软件管家,https://www.jiayiunion.com/creditUnion/PrivacyPolicy.html
港湾APP,https://gangwandangjian.com/privacy
思维导图,http://www.mindline.cn/privacy.html
哈啰名片,https://www.leichanclass.com/blog/46bc55bded7
excel表格手机版,http://note.youdao.com/s/8aRyHC5V
信贷客抢单-信贷员抢单软件助手,https://www.jiayiunion.com/creditUnion/PrivacyPolicy.html
To Do,https://privacy.microsoft.com/zh-cn
能源掌中宝,http://www.pumg.com.cn:9399
管家助手,https://gj.wojiacloud.com/privacyAgreement
倒数日子,http://xhjkeji.xyz/common.html
乐清人才网,https://www.yqrc.com/app/pages/privacy.html
墨计考勤,https://h5.emodor.com/service-landing#/privacy_agreement
守护日记,http://qiniu.diary.zrpic.com/url/privacyPolicy.html
excel表格,http://note.youdao.com/s/YXtrPIFv
盾安云,https://www.szdunan.cn/#/yonghu_xieyi
土地工,https://api-release.tudgo.com/agreement.html
心田园丁,https://teacher-center-api.xthktech.cn/edu/aggreement/get_aggreement?var=xtyd_privacy_agreement
C证,http://hao.pthink.com.cn/cc2/html/cc_privacy.html
Excel表格办公软件大师课,http://www.91juguo.com/policy.html
生活圈智投,https://life.xinchao.com/web/#/self?self=yszc
云拓客,http://cms.hbounty.com/index.php/Home/Index/page.html?id=117
有好订货宝,https://erp2.youhaosoft.com/privacyAgreement
筑诚,https://i.mctech.vip/public/app/iwop/general_privacy_statement.html
邻客医生,https://app.linkdoc.com/static/views/agreement/linkdoc_hospital.html
