name,link
新大田,https://cm.fjgdwl.com/cm-page-client/privacy?orgUid=200427120403104249&type=1
济宁新闻,http://www.jnnews.tv/p/710850.html
看看新闻,http://www.kankanews.com/aboutcn/yszc.html
长江网,http://cjn.cnjiup.com/cjn-protocol.html
彩练新闻,https://www.cailianxinwen.com/app/user/userAgreement
巴比特,https://m.8btc.com/us/privacy
馆陶圈,https://zhongguoquan.cn/html/PrivateProtocol.html
圆点直播,http://www.chinalink.tv/content/49547.html
懂球帝,https://topic.dongqiudi.com/webapp/privacy/privacy.html
众望,https://xdc.gog.cn/article/app/privacyPolicy.html
节水通,http://www.dyhwater.com/yinsi.html
北斗融媒,https://bdrm.bdy.lnyun.com.cn/NRpaisss/NRfx_yinsi2.html?type=2
我德清,http://app.yingxi.tv/folder22/2020-08-19/Z731KWXF7vLtmzuS.html?_hgOutLink=news/NewsDetail&id=250106
金联创,http://image.315i.com/software/app/app_license/privacypolicy.html
项城云,http://xcadmin.xcyun.net/manager-html/view/index3.html
新浪新闻,https://mjs.sinaimg.cn//wap/project/client-common-page/0.1.36/privacy/index.html
金十数据,https://cdn.jin10.com/app_pages/privacy_agreement.html
废钢网-专业废钢资讯平台,https://apis.feigang.com/api/service.html
大三亚,http://www.sanyarb.com.cn/content/2020-05/06/content_493072.htm
腾讯新闻,https://news.qq.com/privacy.htm
养猪圈,http://m.zy.xw518.com/app_page/privacyzy/
深交所,http://www.szse.cn/application/register/protocol/
动静新闻,https://t.gzstv.com/privacy-agreement.html
财经早餐,https://webapp.feheadline.com/femorning_web/user_privacy_agreement.html
今日资阳,http://www.zyrb.com.cn/folder93/folder1890/2020-08-26/uTrrdmHYvRDDVUbW.html
天下峨眉,http://app.jrem.cn/copyrights.html
WEART,http://139.196.226.125:8000/protocol/app_user_protocol.html
正观新闻,http://www.zhengguannews.cn/footer/policy.html
南昌头条,http://ncrb.wx.0791look.com/app/?p=cloud&action=app&id=16460
财联社,https://image.cailianpress.com/html/privilege/privacy_policy.html
最江阴,http://zhuzhan.ijiangyin.com:1805/usercenter/agreement/privacy_argeement.html
鸽派,http://zhxg.com/APP/static/html/privacy.html
美丽乌当,https://xdc.gog.cn/article/app_mlwd/privacyPolicy.html
搜狐资讯,http://18525bc38e188.cdn.sohucs.com/client/privacy_infonews.html
天眼新闻,http://jgz.app.todayguizhou.com/appAPI/service-index-service_type-private.html
ICIS,https://www.reedbusiness.com/privacy-policy-china/
中国基金报,http://www.stcn.com/common/apple/secret/fundsecret.html
在川汇,http://zaichuanhui.qtvinfo.com/privacy.html
商协互联,http://zhxhlm.com/agreement/sxhl/privacy
醋柳app,http://sce.zkwbw.com.cn/files/download/privacy.html
果壳-每一份好奇心都值得守护,https://zone.guokr.com/area/guokrapp_privacy_policy/
数博会,https://www.bigdata-expo.cn/secret
爱璧山,http://zwyst.cqliving.com/online/privacy/index.html
成果头条,https://www.kezhuanyun.com/privacy.html
掌上临澧,http://moment.rednet.cn/privacyPolicy/protocol.html
中原证券财升宝,https://csbthszt.ccnew.com.cn:9804/feedback/src/app/notice.html
老司机汽车,https://m.laosiji.com/app/private_agreement_lsj.html
太平洋汽车,https://corp.pcauto.com.cn/privacyPolicy.html
辟谣侠盟,https://phone.hnweibo.cn/html/#/pages/user/about?_id=610
今日头条,https://www.toutiao.com/privacy_protection/
新品头条,https://h5.xptt.cn/userPrivacy.html
云盛京,https://sjvue.yunshengjing.com/#/Info02
新车评,https://www.xincheping.com/special/app/ios-private-policy.html
百度,https://s.bdstatic.com/common/agreement/privacy.html
农链资讯,http://api.zfjg.info/H5/privacyAgreement/?id=1
A9VG,https://xyoss.g.com.cn/xy-production/a9vg/privacy_policy.html
云果网,https://www.gaoyuanyunguo.com/Home/article/detail/id/1169.html
Hi威海,http://hi.hiweihai.net/htmlinc/userTerms/index.html
FX168财经,https://m.fx168.hk/app/jy_privacy_policy.html
陵水融媒,https://lsrm.hinews.cn/index.php/index/publics/privacy_agreement.html
掌上春城,http://zsccv7.kmzscc.com/htmlv7/pc.html#/htmlv7/#/pages/detail/news?id=163164
宝安湾,https://m.baoanone.com/baw/protocol/protect.html
江西林技通,http://ljt.woniuo.club/
优企盈,https://ssce.oss-cn-qingdao.aliyuncs.com/vip_agreement.html
机核,https://www.gcores.com/privacy
