name,link
酒兔子骑手端,https://app.mizhuhunlian.cn/
骑易达,http://dev.7yida.com/app/webview/privacy
心里美-酒店预订尚客优骏怡兰欧,http://m.ihotels.cc/h5/app/privacy.html
四川航空,http://m.sichuanair.com/zschresource/GDPR/secrets.html
智运管家司机端,https://www.zy-shopping.top/static/yinsi.html
油米车盟,http://w.youmichemeng.com/html/purchase_agreement.html
智享车生活,https://img01.glsx.com.cn/doc/privacy.html
卡车拍,https://finance.foton.com.cn/auction/Privacy_agreement.html
大大汽修,https://qixiuh5.dada365.com/static/app_grand_ceremony/privacy-policy.html
悦行,https://yyapp.yyyuexing.cn/admin/config/toShowHtmlMsgByKey?key=privacyPolicy
玖玖约车司机端,https://jiujiuyueche.com/resource/html/protocol/privacyagreement
智慧商铺,http://smart-shop.yhcs.com/app_agreement.html
淘车二手车,https://m.taoche.com/about/notice.html?hidetype=7
百驴旅游,http://yinsi.zzyyt.cn/yinsi.html
力帆摩托,https://zhao.cmmat.com/xcws/download/LFJCWS_PRIVACY.html
货运九州,https://insideapi.jskc56.com/hyjzfile/agreement.html
远长司机版,http://agreement.ycwl6666.com/dirver_privacy.htm
劲桩,https://appchannel.jin-zhuang.cn/jinzhuang-saas-app/front/page/service/privacyPolicy.jsp
捡人旅游,http://jianrenwang.cn/wap/components/privacy.htm
琴岛通,http://app.nfc.ourqingdao.com:10200/imgFile/privacy.html
指北生活,https://h5.northlife.com.cn/privacyAgreement
渝骑出行,https://zhao.cmmat.com/xcws/download/HJYUQI_PRIVACY.html
滴滴车主,https://dpubstatic.udache.com/static/dpubimg/d0c029d604724e68f3115b865db97f7f/index.html
艺龙旅行,https://appnew.ly.com/elong/#/privacyPolicy
数字南阳,http://111.6.79.11:11234/nytxy.html
阿那亚,https://h5.aranya.cc/txPrivacy/
滴滴出行,https://s.didi.cn/AKN
租车帮-悟空,https://m.wkzuche.com/h5/appStatic.html#/campus/privacy_statement
e绿行,http://rs.517na.com/app-source/secretPolicy.html
替替车主,http://wx.ttchefu.com/wechatWeb/privacy.html
筑易达,https://oss-file-mro.yzw.cn/legal-agreement/terms/logistics-app-privacy.html
无锡智慧公交,http://adwap.wxbus.com.cn/wxapph5/privacy.html
车星际-一站式车主生活服务平台,https://cxj.miaoyousoft.com/deal/cxjDeal/cxj-privacy.html
合一差旅,http://rs.517na.com/app-source/secretPolicy.html
定位找人助手,https://mengxi033989043.lofter.com/post/3097112e_1cbe90675
车己,https://chejiqiche.com/cServer/page/privacy
怡泊停车,http://139.9.87.34:6565/
小品出行,http://h5.pin-bike.com/html/intimity.html
东营智慧公交,https://dynb.16bus.net/file/agreement/agreement.html
外业精灵,http://www.tuxingis.com/document/protocol/privacy-agreement.html
车位天使代理商版,http://www.yfdmcw.com/privacy/index.html
穷游,https://static.qyer.com/open/mobile/user/privacy_agreement.html
乌兰察布市公交,http://mobileqrcode-manager.ymdx.cn/AppServerManage/toSecretPage.do?appId=03152030WLCBSGJ
发那科商旅,http://rs.517na.com/app-source/secretPolicy.html
车位天使机构版,http://www.yfdmcw.com/privacy/index.html
差旅随行,https://bluesky.travelsky.com.cn/BlueSkyMobile/privacypolicy/privacyPolicy.html
优货司机端,http://www.800youhuo.com/aboutus/secret.shtml
记道-视频管车,https://www.carsjoy.com/agreement.htm
美信环球酒店,http://rs.517na.com/app-source/secretPolicy.html
享道企业版,https://marketing.saicmobility.com/cms-help/ent/privacyPolicy.html
CarAuto,https://web.eryanet.com/agreement/user-v2/privacy.html
捎点宝车主,https://n.shaodianbao.com/wap/app_activity/privacyprotocol
货车之家,http://hczj.net/yszc.html
掌上行,https://gw.xmbus.com:19001/SpecialCarServiceProtocol/PrivacyProtocol.aspx
智通三千司机,http://image1.zt3000.com/contract/agreement/Register_Privacy.html
丰县出行,https://fengxian.nandasoft-its.com/zcxy.html
中天国富差旅,http://rs.517na.com/app-source/secretPolicy.html
乐充,https://ecmp-webapp.lcola.cn/lcola/app_enduser_privacy.html
爱彼迎,https://www.airbnb.cn/terms/privacy_policy
墨鱼旅行,https://www.mycuttlefish.com/word?id=privacy_agreement
萤态镇,http://www.bamasmiles.com/privateAgreement.html
熊猫爱车商户版,https://xmac.acb360.info/pandaCar/loveCar/version2/index.html#/privacypolicy
塞上行差旅,http://rs.517na.com/app-source/secretPolicy.html
i车位,https://app.xmparking.net/iparking-api-app/pub/page/protocol
车托托,http://www.cttqcjy.com/index/article/name?name=user_agreement
咘咘租车,https://www.bubuchuxing.com/privacy.html
城市之窗,http://news.cs08.cn:8888/xieyi/appyinsibaohu.html
房车之家,http://fangchezhijia.com.cn/yszc.html
潍柴商旅,http://rs.517na.com/app-source/secretPolicy.html
在机场,https://static.iskytrip.com/protocol/privacyPolicy.html
七星导航地图,http://www.北斗导航地图.com/privacy/beidou.html
开车必用,https://oc.chetuobang.com/opencar/oc_h5/agreement/privacy.html
煤科商旅,http://rs.517na.com/app-source/secretPolicy.html
木鸟民宿-短租预订,https://m.muniao.com/Views/AppSinglePage/AppBottom/ysxy.html
联优汇,http://lianyouhui-m.huidaxuan.com:5180/#/CprivacyPolicy?VNK=f74fc36a
云游齐鲁,http://www.yunyouqilu.com/index.php/News/view/id/3.html
永安行,https://h5web.youonbike.com/youonhelp/serviceProtocol/privateProtectPolicy
凯励程,https://k-cdn.klicen.com/staticHtml.html#/privacyPolicy
商旅纵横,http://rs.517na.com/app-source/secretPolicy.html
联优汇商家版,http://lianyouhui-m.huidaxuan.com:5180/#/BprivacyPolicy?VNK=e00705e6
中保车服,https://static.cias.cn/wxapp/chakan/agreement/privacy.html
携程租车,https://pages.c-ctrip.com/carhire/privacy-policy-20210323.html
大兴机场,https://app.bdia.com.cn/#/memberTreaty?type=privacy
168运友物流,http://images.168yywl.com/prod/Common/PrivacyDeclare.pdf
众之泽,http://zhongzhize.com/index/index/yszc
广汽三菱,https://mspace.gmmc.com.cn/art?id=42&goindex=1&noNarBar=true
旅影,http://www.tripvi.cn/tripvi/app/protocol
阳光车主,http://h5driver.jryghq.com/#/rules/privacy-agreement
陶陶出行,https://tt-passenger.win-sky.com.cn/yszc.html
GTMC DVR,https://www.long-horn.com/appyszc
枫叶出行,http://47.105.213.4:779/link/xieyi/privacyagreement.html
美伽汇,https://app.meijiaclub.com/privacypolicy/index.html
星星充电,https://app-cdn.starcharge.com/wap/index.html#/set/toAgreement?version=6.1.0&appVipType=2&navHeight=79
花小猪司机端,http://gift-static.hongyibo.com.cn/static/kfpub/8b6e556069128bd6ecb57ce312af0040/index.html
斯菲尔物流,http://www.mysphere.com.cn/agreement.html
光速超跑,https://www.guangsu.club/notice/privacy.html
快马加油,http://sys.kmjyapp.com/wordhtml/sysword/falvtiaokuan.html
享包车出行,https://m.xiangbaoche.cn/helpapp/secret
便捷青岛,https://bjweb.aqdpay.com/appweb/privacyPolicy
星途生活,https://cloudriveapp.mychery.com:3082/cheryT15/privateInterLife.jsp
