name,link
花生日记,https://hsrjh5.huasheng100.com/page/#/others?id=548
拿货商城,https://app.nahuomall.cn/static/website/policy.html
益友会,	 https://rest-ebs.yestae.com/share/index.html/#/helper/policy
免息星球,https://free.jd.com/community/#/privacyMain
冻品到家,http://apic.dpdaojia.com/singlepages/index/privacy
晁藤,https://zhuanlan.zhihu.com/p/369045967
融托优选,https://m.rongtuoyunlian.cn/web/privacy_policy.ftl
美团优选, https://i.meituan.com/awp/hfe/block/942e5d88e193/89381/index.html
茶批发,https://m.chapifa.com/about.aspx?id=56&app=1
独角秀好店,https://admin.icornerstore.com/pages/readMe/one
聚惠省,http://api.sckj.ltd/web/apps/help/privacy.html
Go车商城,http://iu.you14.cn/service.html
摩点-发现新奇好物,https://zhongchou.modian.com/about/index/3/4.html
蜜蜂省钱,https://mifengshengqian.kuaizhan.com/
当当,http://h5.dangdang.com/mix_20190917_0pzl?user_client=android
派兑易购,http://download.314.life/agreement/yagreement.html
企鹅小店商家,http://act.mockuai.com/m/0b14d8f8f1fb5e4f17492f36d6a67b59.html
优个运动,https://duoyundong.yoger.cn/html/privacy-service.html
会买掌柜,http://ffquan.com//index.php?r=index/privacy&app_id=1223231
探券,http://tanquan8.com/yinsizhengce.htm
荷花日记,http://121.40.168.82:8082/privacy.html
福客满,https://shop.yingfeikexun.cn/#/pages/me/agree?url=privacy
创融麦麦,https://mmh5.maimaichewei.com/agreement/privacyAgreement
微客货源-潮鞋服装搭配批发网,https://ia24886101.jzfkw.cn/
皇石严选,https://wap.hostonfa.com/index.php?app=article&id=58
天虹,http://www.tianhong.cn/cms/article_info.html?id=1202
臻会挑,https://uni.lczgu.com/#/pagesA/my/setting/serviceAgreement/privacys
达令家,https://djia.daling.com/page/Nbh9hJJ8SroV
搜款网,http://m.vvic.com/views/article.html?page=ysqzc
蜂鸟有享,https://img.fengniaolm.com/oss/agreement/privacy.html
甜天派,http://www.ttpai.net.cn/html/1/yinsishuoming146/index.html
心愿盲盒,http://p.miaolove021.cn/xieyi/privacy.html
矩阵资产,http://m-satrix.com/privacyPolicy
工品优选,https://m.vipmro.com/static/ruleWrapper.html?flag=smb-yszc
普冷库购,https://buy.gfscold.com/wechat/page/kugouPrivacyPolicy.html
拎玩网,https://mp.weixin.qq.com/s/q1Wy4js2GLLgWJ8R4lHgTw
捎东西CN,https://www.shaogood.com.hk/shaogood/help-new/info.php?id=175
多多拍,https://www.dodopai.com/web/assets/h5/#/pages/user/setting/privacy_policy
酒兔子,https://app.mizhuhunlian.cn/
惠民城,https://shop.hmcdq.com/user/privacypolicy
小矮人,https://zhibo.hebangwh.com/app/index.php?i=1986&c=entry&m=ewei_shopv2&do=mobile&r=member.yinsi
一眨眼,http://yzygy.com/userprotected.pdf
小米商城,https://cdn.cnbj1.fds.api.mi-img.com/mi-mall/ded8d0e4a77d.html
涞了么超市,https://m.lailemefresh123.cn/Privacy/
DR云创, https://newdr.newlifegroup.com.cn/h5/packageA/pages/setupAll/privacyPolicy
好省,http://sqb.lanlanlife.com/h5s/protocol/privacyPolicy?_protocol=20200514
整点拍-新车二手车直播新平台,https://manage.zhengdianpai.cn/web-h5/deal/privacy1.html
发券云,https://fqyapp.kuaizhan.com/
京喜,https://wqs.jd.com/my/bindpopupv2/policy_jx.shtml
橱窗优选,https://hqc.jisant.com/app/index.html
盲多多 - 一元购物开出惊喜,https://cdn.static.mangdd.com/agreement/privacy.html
菜话商家平台,https://www.zhejianghongda.com/user/usersecret
预多宝,https://m.yuduobao.com/#/privacyPolicy
易米国际,https://h5.yimiguoji.com/privacy
花卷生活,http://m.huajuanyun.cn/Privacy_Policy.html
好券,https://static.resource.bibiku.com/zzzt/privacyProtocol.html
