name,link
爱奇艺-恋恋剧场心动播出,http://www.iqiyi.com/common/privateh5.html
一键录屏,http://wordpress.m1book.com/隐私声明-5
视频去水印,https://www.szshht.cn/info/UserService/cy_ys
腾讯微视-短视频创作与分享,http://www.qq.com/privacy.htm
微视宝,https://tuwen.md117.com/imgtest?data=%7B%22twid%22:%2210285%22%7D
影视大全,https://s.yingshidq.com.cn/app/yingshidq-privacy-20190314.html
HiFi音乐专业版, http://hifiok.com/privacy/android.html
影蛙视频,http://h5.qiansheng.tech/#/policy
录屏高手,http://baby.dadawh.com:1807/record.html
好看视频,https://haokan.baidu.com/haokan/wiseaboutus?type=secret
龙珠直播,https://longzhu.com/rules/EACR00000107
会玩视频,https://njliotu.oss-cn-hangzhou.aliyuncs.com/html/ecook-uniform-privacy.html?package=cn.huiwan.video&channel=xiaomi
库客音乐Hi-Res,https://hoss.kuke.com/1-1.html
呱呱直播-约会心动主播,http://service.static.kele55.com/activity/2019/clause/Privacy.html
酷玩乐队,http://www.guaguaxueqin.com/app/kuwanxieyi.html
石榴直播,https://v.6.cn/about.php?ac=privacy
水晶直播,http://wmlivesj.sjlive.cn/about/PrivacyPolicy.html
钢琴键盘,https://zhuanlan.zhihu.com/p/264425992
动漫大全,http://api.jijiweb.cn/animedownapp/dev/dmdq_dev.html
华为好望,http://download.application.holosens.huawei.com/secret.html
录音文字转换大师,http://www.bxsnet.com/app/privacy.html
雪梨直播,https://izs.wt.qingangpt.com/privacysc?tune=KAASO060&app=14
随播直播,https://www.suibo.tv/m/agreement/declare.html
荔心娱乐,https://www.0mpa.cn/privacy.html
趣红包短视频版,http://www.quhbao.com/protocol/privacy.html
陌声交友,http://api.nuannuanapp.cn/mobile/helper/privacyMajia.html?app=nx
粤享5G-新人送10GB流量,http://5g.gmcc.net/html/policy/privacypolicy.html
抖音,https://www.douyin.com/agreements/?id=6773901168964798477
快音悦,https://h5.kuaiyin123.net/privacy_protocol_v2
风云格式工厂,https://blog.csdn.net/suncj518/article/details/103964748
喵晓法,http://mxiaofa.com/#/PrivacyAgreement
片多多,https://pianduoduo.qq.com/help-content.html?key=privacy_agreement
百搜视频-原百度视频,http://m.v.xiaodutv.com/about/privacy
简谱,http://www.jita666.com/article-114624-1.html
铃声剪辑,http://ringcute.com/Privacy.html
视频剪辑工坊,http://public.szsszykj.com/qudao/20190906admin_apk_5d71d2379264d.html 
赛吧,http://api.saibakeji.com/public/agreement/yinsizhengce/
映客直播,https://mlive.inke.cn/hybird/about/privacy.html
视频剪辑专家,https://mengxi033989043.lofter.com/post/3097112e_1cc1f1079
抖影,https://storage.baomihua.com/h5/kuaikan/douying_UserPrivacy.html
CC直播,https://cc.163.com/agreement/
熊客直播,https://web.prod.yuaizb.com/privacy-policy-xk2.html
月亮播放器,http://v.xtcsjxpj.cn/constants/policy?pid=KFdUpW2DLDyOJIsnhdYpuKxLYW7Zgp0c2pyUWaaKY7c=
番柚短视频,https://h5.fanyou.video/#/policy
中国蓝TV,https://mhudong.cztv.com/260777
柠檬直播,https://pics.haixiutv.com/mobile/ningmeng/clause.html
高手,https://static.1lan.tv/privacy/yilan.html
回森,https://h5.getkwai.com/html/yitian/app/content/index.html?cid=huisenuserprivateagreement&app=highsheng
抖音火山版,https://s3b.bytecdn.cn/ies/page/huoshan/user_privacy_protocol.html
京东内容助手,https://pro.m.jd.com/mall/active/3w4mK1EHGAN5hRKbFyA5GPdMuyr4/index.html?showhead=no
音乐剪辑音频剪辑,http://www.satogame.com/privacy/privacy.html
央视频,https://m.yangshipin.cn/privacy_protect
多多影视大全,http://www.duoduovv.cn/help/privacy.html
草莓视频直播,https://wtb.tubbzb.com/privacysc?tune=AIAASO060&app=144
秀员,http://app.xiuyuanlive.cn/portal/page/index?id=3
多唱,https://duochang.cc/Official/Index/privacyPolicy
乐见极速版,https://leseee.com/lesee/agreement/privacy
铃声多多,http://www.shoujiduoduo.com/ringv1/xmldata/private_policy_ringtone.html
随身乐队,http://www.revontuletsoft.net/privacy_walkband.html
一起练琴-钢琴小提琴智能陪练,https://www.17lianqin.cn/zh/privacy
猫咪直播,http://www.hfxinyilive.com/app/mm/privacy/index.html
腾讯NOW直播,http://www.qq.com/privacy.htm
小熊秀,https://bearshow.arworld.art/privacyPolicy
惠头条,http://toutiao.huadongmedia.com/privacy.html
