name,link
糖豆,https://share.tangdou.com/about/2.html
小米运动,https://upload-cdn.huami.com/tposts/8174
Keep,http://www.gotokeep.com/privacy.html
美柚,https://view.seeyouyima.com/help/privacy_meetyou_android.html
悦动圈,https://d.51yund.com/yd_privacy.html
咕咚,https://tms.codoon.com/cms/pro/1515984586540zrCU6w.html
动动,http://cdn.pacer.cc/static/ios/privacy/zh.html
广场舞多多,http://main.gcwduoduo.com/bama/private_policy/gcw.html
丁香医生,https://assets.dxycdn.com/gitrepo/ask_v2/dist/agreement.html
妈妈网孕育,https://app.mama.cn/privacy-policy.html
宝宝爱跑步-宝宝巴士,https://pdf.maitube.com/pdf/?e=agr8Yuf8C0H22a
健客网上药店,https://app-hybrid.jianke.com/privacy
好大夫在线,https://m.haodf.com/napi/terms/privacy
悦跑圈,https://www.thejoyrun.com/privacy.html
寸草心,http://news.cuncx.com/app_terms.htm
妈妈帮,https://h5-mmb.mmbang.com/static-html/privacy-protection/index.html
男性私人医生,http://www.ranknowcn.com/article_detail.php?id=43&tdsourcetag=s_pctim_aiomsg
快速问医生,https://www.nocare.com/about/privacy
用药助手,https://assets.dxycdn.com/assets/docs/agreement/drugs/b.htm
更美,https://backend.igengmei.com/phantom/about/privacy_agreement/
好医生,https://www.haoyisheng.com/
多锐,https://www.12sporting.com/appcms/xieyi/1400.html
薄荷健康,https://one.boohee.com/store/pages/boohee_privacy
健康160,https://weixin.91160.com/sys/helpdetail.html?qid=265
北京协和医院,https://xhknowledgebase.oss-cn-beijing.aliyuncs.com/173/privacyPolicy.html
好大夫医生版,https://m.haodf.com/napi/terms/docprivacy
北京挂号网,http://www.dengta120.com/service_android.html
康爱多掌上药店,https://m.360kad.com/zhuanti/m_yszc.shtml
每天美耶,http://wap.idengyun.com/mtmy-wap/template/html/law.html
美甲帮,https://m.meijiabang.cn/h5page/2342.html
好药,
减肥小秘书,https://www.jfxms.com/PrivacyPolicy
大头娃娃,https://res.dianmeicn.cn/html/dtwwuser.html
过日子,https://api.huofar.com/v61/7.2/html/xieyi
河狸家,https://m.helijia.com/stuff/privacy/index.html
美妆心得,https://public.cosmeapp.com/app/agreement.html
宜准跑步,http://ezonsport.com/privacyStatement3.html
时光姬,http://s.airbeauty.com.cn:8089/airbeautyone/static/app/InstructionsUse.html
瑞丽网,http://www.rayli.com.cn/0069/2012-06-27/L0069010_975034.html
i店,http://www.idianchina.com/privacypolicy.html
时尚志,http://new-img1.ol-img.com/assets/app/ssz_yssm.html
东方虹,https://mall.dfhon.com/#/agreement/user/privacyPolicy
阿甘跑步,
Nike? Run Club,https://agreementservice.svs.nike.com/cn/zh_cn/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=CN&language=zh&requestType=redirect
美兔儿商户,https://shop.beauty-know.com/userAgreement.html
InStyle iLady,http://cms.ideatchina.com/api/privacy_ilady
整吧,http://app.shijienihao.com/static/agreement.html
养森,http://yangsen.yang-sen.net/yangsen/cm/protocol.htm
与美汇CEO,http://ymh.beautyallin.org.cn/html/privacy/privacy.html
美啦,
艾灸养生,http://www.jiudafu.com/web/privacy/
助美,
透透医美,https://www.toutouyimei.com
杏林壹号,
Gfit,https://gotochitu.com/protocol/ch/privacy.html
驿阳指,http://cheoo.net/privacyinfo.html
慧跑无忧,http://rrd.me/emEzJ
美呗整形,https://m2.meb.com/hideinfo
来艾,https://render.szlaiai.com/p/q/jt58agkn
美啊,https://pointshop.qms888.com/article/detail/9951_1
宠医云医生端,http://h5.petrvet.com/document/092614115453.html
健康猫,
优美师,http://www.iumer.net/ymhy/html/agreement.html
耐动,http://www.nidoog.com/
肌肤秘诀,https://cms.clife.cn/manages/mobile/cBeauty/beautyV2/page/newPrivacypolicy.html
经络养生,http://www.bluecrane.cn/android/private_album/web/privacy_policy.html
宠物家,https://api.ichongwujia.com/static/content/html5/byvue/dist/2020/09/pyagreement/index.html
乐动力,https://huodong.taobao.com/wow/tyact/act/dfwchuyuan?wh_biz=tm&from=singlemessage&isappinstalled=0
花氧,https://www.marykay.com.cn/corporatesite/home/legality/privacy-policy/
健康管家中医堂,http://apppicture.bjshangyitang.com/HealthTreatment/api/more/privacyPolicy!index.do
健康之路,https://uc.yihu.cn/user_protocol
虞美人,https://h5.hipay168.cn/app/privatePolicy
艾美e族商城,https://www.jianshu.com/p/09cb3ef50f17
延誉宝,http://cms.weiduke.com/index.php/Wap/Index/content/id/675/classid/835/token/eblkvm1492166970.shtml
闺蜜美妆,
到位,https://www.daoway.cn/app/privacy.html
美丽神器,http://www.rolaner.com
78商机,https://78appv1.166.cn/download/policy.html
甘草医生,https://www.igancao.com/index.php/doc_agreement
