name,link
腾讯新闻,https://news.qq.com/privacy.htm
哔哩哔哩,https://www.bilibili.com/blackboard/privacy-h5.html
喜马拉雅,https://passport.ximalaya.com/page/privacy_policy
快报,http://www.qq.com/privacy.htm
快看漫画,https://www.kuaikanmanhua.com/webs/agreement
快点阅读,https://www.kuaidianyuedu.com/legal/privacy
全本免费小说阅读器,http://cc-quanben-novel.bjruiyue.com.cn/cp/cc-quanben-novel/protocol/privacy.html
百度新闻,https://news-bos.cdn.bcebos.com/mvideo/privacy.html
QQ阅读,https://yuedu.reader.qq.com/common/common/lawAgreement.html?agreementId=27
凤凰新闻,https://share.iclient.ifeng.com/register_binding?agt=agreextra
掌阅,https://ir.zhangyue.com/fe3/zybook/other/statement/privacyagreement.html
蜻蜓FM,https://sss.qingting.fm/qt-agreement/privacy-20190724.html
腾讯动漫,https://m.ac.qq.com/event/appHtmlPage/privacy.html
知音漫客,https://static.321mh.com/html/h5/index.html?id=6
书旗免费小说,https://t2.shuqi.com/sq-secret.html
连尚读书,https://readact.zhulang.com/static/read/i/policy_080830.html
知乎,https://www.zhihu.com/term/privacy
搜狐新闻,http://api.k.sohu.com/h5apps/settings/modules/settings/userSecret.html
熊猫看书,https://megatron.xmkanshu.com/help/privacy?p10=7
TXT全本免费小说,http://cc-lianzainovel.bjruiyue.com.cn/cp/cc-lianzainovel/protocol/protocol.html
免费追书,https://mfzs-app-h5-new.cread.com/privacyPolicy
免费小说大全,http://p.kkyd.cn/aikan
东方头条,https://resources.dftoutiao.com/dftt/Aboutus/privacy_agr.html
触漫,http://www.chumanapp.com/platformRulesPrivacy.html
咪咕阅读,https://passport.migu.cn/portal/privacy/protocol?sourceid=
中青看点,https://kandian.youth.cn/html/com/yhxy.html
腾讯体育,https://sports.qq.com/kbsweb/kbsshare/privacypolicy.htm
漫客栈,https://www.mkzhan.com/help/10044.html
笔趣阁免费小说,http://sk.qingchen.art/con/htm/about/userprivacy.html
百度阅读,https://yd.baidu.com/hybrid/law_privacy
光环助手,
汽车之家,https://mobile.app.autohome.com.cn/set_v7.5.0/html/protocols.json?v=1111
微信读书,https://privacy.qq.com/yszc-m.htm
晋江小说阅读,https://wap.jjwxc.net/register/showRegisterRule
追书神器,https://h5.zhuishushenqi.com/agreement/user-privacy.html
搜狗阅读,http://corp.sogou.com/private.html
微博动漫,http://manhua.weibo.cn/help/home/privacy_policy?_request_from=pc
哔哩哔哩漫画,https://manga.bilibili.com/eden/privacy-policy.html
起点读书,https://passport.yuewen.com/privacy_policy.html
爱看书免费小说,https://h5-freebook-new.cread.com/privacyPolicy
漫画岛,https://m.manhuadao.cn/activity/h5/protocol-private.html
一点资讯,http://www.yidianzixun.com/landing_privacy
百度文库,https://tanbi.baidu.com/home/privacy_policy
追书免费全本小说,http://cc-mianfeinovel.bjruiyue.com.cn/cp/cc-mianfeinovel/protocol/privacy.html
全本免费阅读器,https://st.quanbennovel.com/static/new/com.quanben.novel/html/privacyPolicy.html
半次元,https://bcy.net/static/privacy#tab_rule
飞卢小说,http://u.faloo.com/html/h5/yinsishengming.htm
新浪财经,http://finance.sina.cn/app/notice_finapp.shtml
咚漫漫画,https://www.dongmanmanhua.cn/terms#privacyPolicy
红袖读书,https://m.hongxiu.com/help/protocol/privacy
多看阅读,http://www.duokan.com/c/privacy
TXT全本免费电子书,http://cc-remennovel.bjruiyue.com.cn/cp/cc-remennovel/protocol/protocol.html
懂球帝,https://topic.dongqiudi.com/webapp/privacy/privacy.html
宜搜小说,https://bookwebview.ieasou.com/common/copyright/privacy.m
凤凰视频,https://share.iclient.ifeng.com/register_binding?agt=agreextra
塔读文学-网络小说大全,http://m.tadu.com/topic/7145
天天基金,https://m.1234567.com.cn/index.html?page=rule
球探体育比分,http://pcf.win007.com/cf/phonecf/win007_privacy.html
第一弹,https://app.diyidan.net/license.html
智远一户通,https://weixin.newone.com.cn/app/info/privacy/index.html
米阅小说,https://www.duokan.com/c/free/privacy
一米阅读,http://wx.yimiyuedu.cn/mobile/webView/app/protocol/private
爱优漫,https://static.321mh.com/html/h5/index.html?id=66
虎扑,https://www.hupu.com/policies/privacy
搜狐资讯,http://18525bc38e188.cdn.sohucs.com/client/privacy_infonews.html
漫漫漫画,https://m.manmanapp.com/help/privacy.html
飒漫画,https://m.samh.xndm.tech/samh_static/privacy/index.html
AcFun,https://m.acfun.cn/staticPage/privacy-policy
中信证券,https://kong.citics.com/citics/download/H5/user/html/sign.html
AA小说下载阅读器,http://www.appleft.com/sa_prp.html
氧气听书,http://m.o2ting.com/hd/byysxy3.html
漫芽糖涂色,http://www.manyatang.com/agreement/privatepolicy.png
菠萝包轻小说,https://www.sfacg.com/about/novel/Privacy.html
