name,link
百度,https://s.bdstatic.com/common/agreement/privacy.html
WiFi万能钥匙,https://a.lianwifi.com/app_h5/agreement/a_v1/privacy/cn.html
百度网盘,https://pan.baidu.com/wap/privacy_policy
百度浏览器,https://s.bdstatic.com/common/agreement/privacy_browser.html
百度(极速版),https://s.bdstatic.com/common/agreement/privacy.html
搜狗输入法,https://shouji.sogou.com/wap/htmls/privacy_policy.html
百度翻译,https://fanyi-app.baidu.com/static/agreement/privacy.html
搜狗浏览器,http://mse.sogou.com/item/private.html
墨迹天气,http://www.moji.com/agreement/agreement-zh_CN.html
讯飞输入法,https://srf.xunfei.cn/help/private.html
中华万年历-日历天气,http://www.zhwnl.cn/static/mobile/privacy.htm
实况天气预报,https://static.2ktq.com/sktq/html/userPrivacy2019.html
百度输入法,https://srf.baidu.com/privacy/index.html
天气预报,http://www.fingerflyapp.com/page_ashionweather/protocol/weather_app_protocol.jsp?appName=天气预报
猎豹浏览器,https://www.cmcm.com/policies/privacy
章鱼输入法,https://m.zhihuizhangyu.com/privacypolicy.html
2345天气预报,http://waptianqi.2345.com/privacy.html
ES文件浏览器,http://esfile.do-global.com/privacystatement/cn/index.htm
2345浏览器,https://houtai.2345.com/h5/privacy/index.html
夸克,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_uc/suit_bu1_uc202002251416_20839.html
上网导航,https://s.bdstatic.com/common/agreement/privacy_hao123.html
最美天气,https://static.zuimeitianqi.com/web/privacy/privacy.html
QQ输入法,http://cdn2.qq.ime.sogou.com/QQprivate200821.htmls
欧朋浏览器(极速版),http://dap.oupeng.com/privacy_eula.html
多多计算器,http://wordpress.m1book.com/隐私声明-12
即刻天气,http://jiweatapph5.hellogeek.com/protocol/privacy?source=geek
多多手电筒,http://wordpress.m1book.com/隐私声明-100
WiFi众联钥匙,https://static.wlanbanlv.com/usu/privacypolicy.html
顺历老黄历万年历,http://protocol.lingji888.com/shunli/protocol.html
新晴天气,http://weatheroperating.nineton.cn/operate/privacy.html
手电筒TinyFlashlight,http://www.doudoubird.com/zhongli/privacyPolicy.html
WiFi信号增强器,http://res.ipingke.com/wifi/privacy.html
花生地铁,http://cmsfile.wifi8.com/uploads/wifi/helpV3/helpV3/protocol.html
极速浏览器,http://browser.mobo168.com/hwz/about/privacy_com.jx.minibrowser.html
本地天气预报,http://www.cxjustsoft.com/loc_w_privacy.html
我查查,http://www.wochacha.com/mobile_news_id_187.html
WIFI密码查看器,http://appstores.cdn.bcebos.com/LookWifiPassword/PrivacyPolicy_cn.html
万能五笔输入法,http://www.wnwb.com/other/policy.html
e浏览器,http://browser.mobo168.com/hwz/about/privacy_com.ledu.ebrowser.html
Via,https://viayoo.com/zh-cn/docs/privacy-policy.html
中国天气,http://news.weathercn.com/appServer/PrivacyAgreement.html
高速浏览器,http://browser.mobo168.com/hwz/about/privacy_com.jx.fastbrowser.html
私密浏览器,http://browser.mobo168.com/hwz/about/privacy_com.jx.privatebrowser.html
WiFi伴侣,https://static.wlanbanlv.com/usu/privacypolicy.html
X浏览器,https://www.xbext.com/docs/privacy-policy/
久久浏览器,http://m.99browser.com/99browserprivacy.html
钓鱼人,https://api.diaoyu.com/html/about/usersecrecyagreement
神奇浏览器,http://nodisk.oss-cn-hangzhou.aliyuncs.com/pages/MagicBrowserPrivacyNotice_zh.html
全能计算器,http://www.zhizhoukeji.com/calculator/privacy
傲游6浏览器,https://www.maxthon.cn/privacy/
天气万年历,http://yun.zhwnl.cn/privacy.html?package=cn.etouch.ecalendar.longshi
悦动浏览器,http://m.770880.cn/apk/private.html
WiFi密码神器,http://res.ipingke.com/wifikey/foxors/privacy.html
即时天气,http://wordpress.m1book.com/隐私声明-23
计算管家,http://www.ideacalc.com/privacy_statement_cn.html
超亮手电筒,http://www.fingerflyapp.com/page_news/protocol/privacy_flashlight.html
猎鹰浏览器,
万能WiFi密码查看器,http://www.tiantianyouhuiquan.com/html/yszc/wnwifimmckq/yszc.html
滴答清单,https://dida365.com/about/privacy
浏览器plus,http://browser.mobo168.com/hwz/about/privacy_com.moying.browserplus.html
开心天气,https://tianqi-app.2345.com/h5/gold/staticPage/privacy.html
Amazfit,http://cdn.cnbj2.fds.api.mi-img.com/mifit/2508683686.html?t=1562726639
星尘浏览器HD,
AirDroid,https://www.airdroid.com/zh-cn/legal/privacy.html
天气预报,http://data2.funhan.cn/conceal.html
4G浏览器,
365倒数日,http://115.29.48.226:8792
宝宝台风天气,https://www.babybus.com/policy?name=privacy
天眼,https://bbs.csdn.net/topics/392645863
WiFi密码查看器,http://www.tiantianyouhuiquan.com/html/yszc/wifimmckq/yszc.html
豆豆手电筒,http://www.doudoubird.com/ddn/ddnPolicy.html
生日管家,https://m.shengri.cn/privacy_policy.html
浏览器,http://browser.umeweb.com/policy.htm
非常准天气,https://cayerwh.com/app/feicztq/feicztq_privacy.html
子牙钓鱼,http://www.ziyafish.com/static/agreement.html
全能语音计算器,http://www.cxjustsoft.com/cx_qnyy_privacy.html
老黄历万年历,http://test.che0663.com/yssm.html
有赞精选,https://j.youzan.com/2HNWY8
WiFi性能测试,https://video.charmobi.com/studio/WT/PrivacyPolicy.txt
iTime,https://help.we-moment.com/privacy
超级计算器,http://www.doudoubird.com/zhongli/privacyPolicy.html
二维码与条形码,http://m.uquba.net/Conceal/Scanning
极速通浏览器,http://lomissve.com/api/ads
VI高级计算器,https://www.qvbian.com/
