name,link
百度网盘,https://pan.baidu.com/wap/privacy_policy
爱奇艺,http://www.iqiyi.com/common/privateh5.html
腾讯视频,https://m.v.qq.com/app/restore/privacy.html?iOSUseWKWebView=1&vrpageid=page_guide_privacy
酷狗音乐,https://m3ws.kugou.com/html/privacy.html
优酷视频,https://h5.m.youku.com/app/flsm.html?spm=a1z3i.a4.0.0.2b576968jNzKKa
QQ音乐,https://ct.y.qq.com/y.qq.com/m/client/intro/privacy2.html
网易云音乐,https://st.music.163.com/official-terms/privacy
全民K歌,https://kg.qq.com/activity/privacy.html
喜马拉雅,https://passport.ximalaya.com/page/privacy_policy
酷我音乐,http://m.kuwo.cn/static/page/newuser/secret.html?random=221358013
影视大全,https://s.yingshidq.com.cn/app/yingshidq-privacy-20190314.html
搜狐视频,https://m.tv.sohu.com/upload/h5/agreement/private.html
芒果TV,https://i.mgtv.com/account/c_protocol
度小视,https://quanmin.baidu.com/m/cashvideo/agreements?qa=privacy
铃声多多,http://www.shoujiduoduo.com/ringv1/xmldata/private_policy_ringtone.html
蜻蜓FM,https://sss.qingting.fm/qt-agreement/privacy-20190724.html
咪咕视频,https://passport.migu.cn/portal/privacy/protocol?sourceid=203004
央视影音,https://app.cctv.com/special/m/privacy/privacy.html
PP视频,http://article.pptv.com/information/Agreement/privacyAgreement.html
咪咕音乐,https://passport.migu.cn/portal/privacy/appprotocol?sourceid=220024
影音先锋,http://www.xfplay.com/chat/privacy_policy.html
手机电视,https://appl1-apiv1.starschina.com/ims/static/privacy.html
腾讯视频 HD,https://m.v.qq.com/app/restore/privacy.html?iOSUseWKWebView=1&vrpageid=page_guide_privacy
乐视视频,http://minisite.letv.com/msite/privacyStatement/index.shtml?sf=1&sc=0
唱吧,http://changba.com/policy6.html
风行视频,http://m.fun.tv/privacy
酷我音乐HD,https://h5app.kuwo.cn/m/9c0092e0/kwsecret.html
酷狗铃声,http://ring.kugou.com/help/privacy.html
泰捷视频(TV版),none
千千音乐,https://c.taihe.com/res/privacy/index.html
搜狐视频HD,https://m.tv.sohu.com/upload/h5/agreement/private.html
微叭视频,https://license.weiba.cn/privacy.html?brand=v82
企鹅FM,https://privacy.qq.com/
荔枝,https://www.lizhi.fm/about/privacy.html
酷狗直播,https://mfanxing.kugou.com/ether/ZXQwMDAwMDMw.html
天翼超高清,http://h5.nty.tv189.com/csite/tysx/spage/privacy-policy
VV,https://music.51vv.com/wx/m/aboutme/protocol_privacy.html?qq-pf-to=pcqq.temporaryc2c
百合视频,http://baihe.58hhdie.com/privacy.html
央视影音HD,https://app.cctv.com/special/m/privacy/privacy.html
爱听,http://shpic4g.musicway.cn/pic.client.v2/license/privacy_policy_iting_v1_8.html
黄瓜视频,http://yh5.yuyin-tv.com/agreement?status=privacyPolicy&app_name=huanggua
彩铃多多,http://www.shoujiduoduo.com/ringv1/xmldata/private_policy_cailing.html
红包视频,http://www.qudianyue.com/bj_note.html
今日影视大全,http://js81b.jrysdq.cn:13579/rules/0/privacy/userAgreement.html
来电视频,http://ossfile.pangbaoapp.com/dca88236-1aa5-4160-a160-16f6d1fee68e.html
央广手机电视,http://v.cnrmobile.com/about/privacy-policy.html
惠视频,http://www.cashvideo.cn/
酷我K歌,http://www.kuwo.cn
爱唱,http://www.5aichang.cn/userprivacy.html
电视优化大师,
DJ音乐盒,http://www.djyule.com/wenDang/yszc.htm
清爽视频编辑器,https://api.shoujihuifu.com/wap_pay/privacy/hudun/zh/privacy.html?soft_name=%E6%B8%85%E7%88%BD%E8%A7%86%E9%A2%91%E7%BC%96%E8%BE%91&platform=android&packageId=com.hudun.videoedit&version=5.1.1
5sing原创音乐,https://5sing.kugou.com/topic/help/kgagreement.html
K歌达人,http://web.qlkge.com/kuro/iphone/agreement.html
日语学习,https://api.kakajapan.cn/jplearn_privacy_agreement.html
向日葵视频,http://heiwanghuanwu.top/privancea2.html
彩蛋视频壁纸,https://document.adesk.com/v1/document/5f818e488e17531402a87080
先锋影音,http://www.yunboplay.com/newys.html
美册视频编辑剪辑制作,https://www.vcore.hk/aboutus/PrivacyPolicy.html
音悦台,
茄子短视频,http://tiny.api.mgtv.com/copyright
极速影院播放器,http://www.tiantianyouhuiquan.com/html/yszc/jsyybfq/yszc.html
香蕉视频,https://api.julee.top/html/protocol.php
钢琴教练,http://m.yypapa.com/agreement/privacy
听听广播,http://www.zhiyisheng.tech/privacy_policy.html
轻视频,http://bbq.bilibili.com/agreement/privacy/policy/
酷音铃声,https://h5res.kuyin123.com/client/rights/agreement.html
闪约,https://help.dreamimi.com/privacy.php?_t=Y29tLnl1ZWxpYW90aWFuLnNoYW4=
有聊,http://api.yueliao520.cn:8009/clientpage/privacy_policy.php?cliid=com.mm.youliao
经典复读机,https://www.jianshu.com/p/f66cb67bf1f6
花生FM,http://app.radiofoshan.com.cn/web/index/agreement?ag=privacy
千寻视频相亲,none
特效视频,http://www.bdk5.cn/zh-CN1.html
视频去水印,http://www.tiantianyouhuiquan.com/html/yszc/spqsyds/yszc.html
央视体育VIP,https://www.cctv.com/special/guanyunew/PAGE13818868795101878/index.shtml?spm=C96370.PsikHJQ1ICOX.EX60QUJxaD0D.5
中国蓝TV,https://mhudong.cztv.com/260777
香蕉视频,http://heekeji.top/hongprivance.html
壁音视频壁纸,http://hfkj5188.mikecrm.com/YEeK6Sf
斗鼠短视频,http://h5.aidoushu.cn/about/detail/mark/app_privacy
好兔视频,https://www.yilan.tv/privacy/privacyagreement.html
