name,link
WiFi万能钥匙,https://a.lianwifi.com/app_h5/agreement/a_v1/privacy/cn.html
腾讯手机管家,http://www.qq.com/privacy.htm
猎豹清理大师,https://www.cmcm.com/zh-CN/policies/clean-master-privacy
猎豹安全大师,https://www.cmcm.com/zh-CN/policies/cms-privacy
百度网盘,https://pan.baidu.com/wap/privacy_policy
清理大师,http://www.angogo.cn/doc/clean/privacy.html
QQ同步助手,http://www.qq.com/privacy.htm
ES文件浏览器,http://esfile.do-global.com/privacystatement/cn/index.htm
鲁大师,http://sjapi.ludashi.com/cms/page/app_protocal.html
百度卫士,
光环助手,
快牙,http://download.dewmobile.net/policy.html
UU加速器,https://reg.163.com/agreement_mobile_ysbh_wap.shtml?v=20171127
WiFi众联钥匙,https://static.wlanbanlv.com/usu/privacypolicy.html
Microsoft Word,https://privacy.microsoft.com/zh-cn
迅游手游加速器,http://xunyou.mobi/article-2877.html
天翼云盘,https://m.cloud.189.cn/wap/licence/privacy_agreement.html
安卓优化大师(国际版),https://public-policy.s3-us-west-2.amazonaws.com/booster/privacy-policy.html
腾讯微云,https://privacy.qq.com/
护眼宝,https://cftweb.3g.qq.com/privacy/agreement?appid=10491393
Microsoft Excel,https://privacy.microsoft.com/zh-cn/privacystatement
换机助手,http://www.qq.com/privacy.htm
极速清理大师,http://clean.funmeet.com.cn/privacy.html
和彩云网盘,https://caiyun.feixin.10086.cn/policy.jsp
Microsoft PowerPoint,https://privacy.microsoft.com/zh-cn/privacystatement
存储空间清理,http://www.ktlshu.vip/page/privacy.html
有道云笔记,https://note.youdao.com/license-secrecy.html
WiFi伴侣,https://static.wlanbanlv.com/usu/privacypolicy.html
X浏览器,https://www.xbext.com/docs/privacy-policy/
智能应用锁,http://product.thinkyeah.com/applock/privacy
爆米花视频,http://appapi.baomihua.com/html/UserPrivacy.html
游戏加速器,http://wordpress.m1book.com/隐私声明-31
照片保险箱,http://www.thinkyeah.com/galleryvault/privacy_policy
电池超人,http://res.ipingke.com/battery/privacy.html
充电助手,http://www.canking.win/chargehelper/charge_data.html
AirDroid,https://www.airdroid.com/zh-cn/legal/privacy.html
Microsoft Office,https://privacy.microsoft.com/zh-cn/privacystatement
企业密信,http://akeypublichtml.akeychat.cn/enterpriseyszc.html
清理助手,http://www.ddidda.com/private.html
特来电,https://cv.teld.cn/module/Pictivity.html#/ActivityPage3?hiCode=PrivacyPolicy
安司密信,http://akeypublichtml.akeychat.cn/ansimixinyszc.html
手机加速清理管家,http://qszzz.cn/agreement/qfy6ph89
垃圾清理王,https://yuanjiao8.cn/ysxy.html
WiFi性能测试,https://video.charmobi.com/studio/WT/PrivacyPolicy.txt
曲奇云盘,https://quqi.com/p/tiaokuan.html
手机加速清理大师,http://qszzz.cn/html/privacy_policy.htm
星星充电,https://app-cdn.starcharge.com/wap/index.html#/set/toAgreement?version=6.1.0&appVipType=2&navHeight=79
微盘,https://vdisk.weibo.com/wap/client/privacyPolicies
小电,https://m.dian.so/common/privacy
安悦充电,http://app.anyocharging.com:8981/privacy/
