name,link
魔秀桌面,http://mobile.moxiu.com/misc/?do=Launcher.Policy.Privacy
91桌面,http://felink.com.cn/zmprivacy.html
壁纸多多,http://www.bizhiduoduo.com/wallpaper/private_policy_wp.html
3D宝软桌面,http://www.baoruan.com/privacy.html
如意老人桌面,http://www.fumubang365.com/index.php/Admin/AllIndex/getDetail?article=201907180635419421&from=singlemessage&isappinstalled=0
爱壁纸,http://s.novapps.com/web_html/iwallpaper_privacy.html
手机云,
秀壁纸,http://www.xiubizhi.com/privacy.html
91锁屏,http://felink.com.cn/sprivacy.html
字体大师(美化版),https://www.mylikefonts.cn/FontManager/secret.html
微信炫字体,http://www.bolanw1.com/res/bolan/htmls/conceal.html
换字体管家大师版,http://www.multiabc.com/wp-content/uploads/privacy_policy_common.html
美日记,https://m.anybeen.com/htmlfile/diaryuseragreement/index.html
大书法家,https://apps.monking.com.cn/calligrapher/privacy.php
素记日记,http://shenzhenstackoverflow.lofter.com/post/1ec3083e_11cc198c
安卓壁纸,https://document.adesk.com/v1/document/5f6020f9df564390b17b0995
魔法壁纸,http://www.youjuxi.com/wallpaper/static/privacy/wallpaper-privacy.html
