name,link
快手,https://app.m.kuaishou.com/public/index.html#/protocol/privacy
微视,http://www.qq.com/privacy.htm
Faceu激萌,http://faceu.mobi/agreement.html
度小视,https://quanmin.baidu.com/m/cashvideo/agreements?qa=privacy
美图秀秀,https://pro.meitu.com/xiuxiu/agreements/common/policy.html?lang=zh
B612咔叽,http://www.b612kaji.com/privacyPolicy
LOFTER,http://www.lofter.com/agreement?op=privacyPolicy
水印相机,https://tu.qq.com/policy/zh-cn/zc/privacypolicyCamera.shtml
天天P图,https://privacy.qq.com/
PicsArt美易照片编辑,https://picsart.com/zh/privacy-policy/android
美拍,https://www.meipai.com/agreement/privacy
彩视,http://api.colorv.cn/react/privacy_policy
配音秀,http://peiyinxiu.com/app/Article/115
Seetong,https://www.seetong.com/privacy.html
nice,https://m.oneniceapp.com/welcome/policy?id=24787
逗拍,https://static.doupai.cc/doupai/android_user_agreement.html
微商相册,https://mp.weixin.qq.com/s/Q5uQvKpLCaMLsZBO-1xikg
相机360,https://www.camera360.com/privacy_zh_cn.html
秒拍,http://n.miaopai.com/state/privacy
小影,https://xy-hybrid.kakalili.com/web/h5template/fc5b3374-8125-4a76-913f-ff4454c62a07-language=zh-CN/dist/index.html
黄油相机,http://web.bybutter.com/promotion/protocol/butter-privacy-policy/
掌上看家,https://update.ichano.cn/athome/AtHomePrivacy.html
最美证件照,https://www.camera360.com/privacy_idphoto_zh_cn.html
LINE Camera,none
微商水印Pro,http://edujia.com/agreement/yinsi.html
元道经纬相机,https://lbs.wintaosaas.com/agreement/NDA
美妆相机,https://pro.meitu.com/makeup/agreements/privacy-policy/?lang=zh
动感相册,https://pay.17ll.com/apply/login/privacyAgreement.html
潮自拍,https://pro.meitu.com/selfiecity/privacy-policy/index.html?lang=zh
PS Touch,http://www.vgtime.com/protocol.html
三次方 Cubed,http://api.cubedat.com/home/bobiGo/privacyPolicy
最美自拍,http://www.camera360.com/privacy_bestie_en.html
相册管家,http://www.bluecrane.cn/android/private_album/web/privacy_policy.html
云美摄,https://management.meishe-app.com/servicelaw/index.html
好多动漫,http://qn.cdn.hddm.oacg.cn/html/hddm/policy/v1.html
天天相册,
一刻相册,https://pan.baidu.com/union/youa/privacy
相册宝,http://webview.photosave.cn/statement/p_privacy
强力照片恢复,http://h5.8dudata.com/agr-ios.html?pkgname=com.i8dudata.image.republish.v5
美颜美图爱水印,http://superlab.hlxmf.com/happybees_watermark_privacy.html
相册制作,http://public.szsszykj.com/info/xczz_ys.html
PS修图,https://www.camoryapps.com/moreapps/privacy_policy/imageeditor/policy_cn.html
进京证,https://cnmaps.net/app/common/privacy_android.html
装修图库,https://www.to8to.com/about/noticedetail.html?id=27
图片合成器,http://www.adnonstop.com/interphoto/wap/user_english_agreement.php
易企秀,https://h5.eqxiul.com/ls/u67SPf1A
TouchRetouch,https://adva-soft.com/privacy-policy-tr.html
距离测量仪,https://www.mvtrail.com/privacypolicy/
照片备份云相册,http://mingcalc.com/rule_ys.html
抠图宝,http://www.koutubao.vip/privacy/
爱拍,https://m.aipai.com/app/www/templates/mobile/guide/ap_protocal_privacy.html
小影记,https://xy-hybrid.kakalili.com/web/h5template/fc87db86-7ae0-4f7f-9484-e9e102ea84c4-language=zh-CN/dist/index.html
嘿吼,https://m.heyhou.com/rule.html
看拍,
