name,link
CAD快速看图,http://cdn.cad.glodon.com/policy/privacypolicy.html
WPS Office,http://www.wps.cn/privacy/privacyprotect/
QQ邮箱,http://privacy.qq.com
百度(极速版),https://s.bdstatic.com/common/agreement/privacy.html
百度翻译,https://fanyi-app.baidu.com/static/agreement/privacy.html
网易邮箱大师,https://reg.163.com/agreement_mobile_ysbh_wap.shtml?v=20171127
天眼查,https://m.tianyancha.com/h5/rights_privacy
Microsoft Word,https://privacy.microsoft.com/zh-cn
网易邮箱,https://reg.163.com/agreement_mobile_ysbh_wap.shtml?v=20171127
Microsoft Excel,https://privacy.microsoft.com/zh-cn/privacystatement
番茄ToDo,http://www.tomatodo.cn/privacy.html
189邮箱,https://webmail30.189.cn/w2/template/privacy_policy.html
云之家,https://www.yunzhijia.com/public/agreement/privacy.html
安心记加班,https://h5.julanling.com/actives/privacyPolicy/index.html
讯飞语记,http://yj.openspeech.cn/speechplus/agreements/privacy
Microsoft PowerPoint,https://privacy.microsoft.com/zh-cn/privacystatement
有道云笔记,https://note.youdao.com/license-secrecy.html
锤子便签,https://resource.smartisan.com/docs/notes_policy_cn.html
网易蜗牛读书,http://gb.corp.163.com/gb/legal.html
每日记,http://www.ludeqingyun.com/privacy.html
思维导图,http://mindline.cn/privacy.html
滴答清单,https://dida365.com/about/privacy
名片全能王,http://s.intsig.net/r/terms/PP_CamCard_zh-cn.html
印象笔记,http://www.yinxiang.com/legal/privacy.php
Microsoft Office,https://privacy.microsoft.com/zh-cn/privacystatement
沃邮箱,http://newhelp.mail.wo.cn:18081/faq/index?id=-9999&fid=-6666&type=2
美物清单,http://help.shouqu.me/help/shouqu/app-privacy.html
101教育PPT,https://cs.101.com/v0.1/download?dentryId=983d061c-bcc9-4f26-851c-5d3acad64d14
随笔记,https://suibiji.com/user/privacy
MindMaster思维导图,https://www.edrawsoft.cn/mindmaster/private-policy/
轻记事,https://www.manukahealth.co.nz/zh-cn/%E7%BD%91%E7%AB%99%E6%9D%A1%E6%AC%BE%E5%92%8C%E9%9A%90%E7%A7%81%E6%94%BF%E7%AD%96/
多多任务清单,http://wordpress.m1book.com/隐私声明-76
3A 思维导图,http://www.3acloud.com/隐私策略_3AMind.txt
钉钉,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_dingtalk/suit_bu1_dingtalk202010070946_49604.html
记账清单,http://39.96.192.94/privacyPolicy/privacyPolicy.html
计划清单,http://oss.yoobingo.com//smalltarget/app/page/com.yoobingo.targetlist/private.html
番茄钟清单,http://tomato.zhizhoukeji.com/tomato/privicy.jsp
TickTick日程管理,https://ticktick.com/about/privacy
玩清单,https://www.wanqingdan.com/agreement/privacy.html
水球清单,https://waterdo.seekrtech.com/privacy/
效率+,https://www.yuanruiteam.com/mobile/policy.html
知了清单日程计划,http://www.xiejianji.com/policy_zltodo.html
幂宝思维,https://www.camoryapps.com/moreapps/privacy_policy/mindNet/policy_cn.html
憨憨时间管理,https://hanhan09.github.io/HanHan09/
