name,link
PTE羊驼,https://ytaxx.com/privacyPolicy-pteweb.html
乐学高考,http://esfile.lexue.com/share/20181017/create_privacy.html
百度翻译,https://fanyi-app.baidu.com/static/agreement/privacy.html
作业帮,http://h5.zybang.com/plat/mine-vue/privacyTreaty.html
快对作业,https://www.kuaiduizuoye.com/kdzy/privacyPolicy/privacyPolicy.html
一起作业,https://www.17zuoye.com/view/mobile/common/useragreement/index.vpage?type=2&client_name=17student
小猿搜题,https://xyst.yuanfudao.com/common/user-privacy-xyst
金山词霸,https://m.iciba.com/mobile/20160504/index.html
互助文档,http://migu.hdzuoye.com/privacy.html?appType=0
网易有道词典,http://corp.163.com/gb/legal.html
百词斩,https://passport.baicizhan.com/privacy/privacy.html
翻译,https://policies.google.com/privacy?hl=zh
驾校一点通,https://j1.58cdn.com.cn/dist/jxedt/native/article/detail/newClause.html
百度文库,https://tanbi.baidu.com/home/privacy_policy
洋葱学院-原洋葱数学,https://yangcong345.com/ZXH5-privacy-policy.html
有道翻译官,http://shared.youdao.com/dict/market/youdaoInc/index.html#/CN
好分数,http://tk.haofenshu.com/
格灵课堂,http://iexue100.com/privacy.html
乐教乐学,https://www.ljlx.com/ljlx/public/userprivacy.html
阿凡题搜题,https://afanti-image.afanti100.com/data/file/privacy_agreement/privacy_agreement.html
作业帮直播课,https://jiazhang.zuoyebang.com/webapp/ksPrivacy
流利说-英语,http://hybrid.liulishuo.com/lingome/shared_page.html#/terms
七天学堂,http://szone-activity.7net.cc/views/protocol/privacy_policy.html
猿题库,https://xyst.yuanfudao.com/common/user-privacy-ytk
高途课堂,https://m.gaotu100.com/policy
学而思网校,https://zt.xueersi.com/privacy/
翼课学生,https://mapi.ekwing.com/student/user/privacypolicy?os=ios&product=student&uid=1341330&author_id=1341330&is_http=1&v=3.0&token=cMTM0MTMzMCMjMTAyNzgzMTkjI2ViNGU3ZDJmNzkzY2Y4NGNmZGI0NmNiOWY1NjUxYzMxIyNhZTk1MmIxMzllZTA4NTkxOGM1MGY1MDNlZjQwYTkzOCMjMTU2NjM
英语趣配音,https://wap.qupeiyin.cn/activity/yqPrivacy
中国大学MOOC,https://www.icourse163.org/topics/yinsi/
洪恩识字,https://www.ihuman.com/new_privacy_cn.html
天天练,http://a.leleketang.com/cr/service/html/private.php
闽教学习,https://student-primary.zhihuiliu.com/app/views/agreement/userAgreement.html
车轮驾考通,https://m.chelun.com/2019/chelun-protocol/index.html#/privacy/1
E英语宝,https://m.eyyb.vip/html/kfzx/index.html?appId=75b9caa9696411e993dd525400c04357&type=4
开言英语,https://www.openlanguage.com/p/private/
可可英语,https://m.kekenet.com/about/secret.html
纸条,http://zwzt-h5.zuowenzhitiao.com/share/privacyPolicySub.html
灯塔党建在线,https://www.dtdjzx.gov.cn/
爱作业,http://files.aizuoye100.com/static/appH5/privacy_policy.html
作业大师,https://checkanswer.helpedu.com/live-h5/assets/privacystatement/privacyStatement.html
网易公开课,http://open.163.com/special/privacyagreement_open
腾讯课堂,http://www.qq.com/privacy.htm
知米背单词,http://article.iwordnet.com/d0a6775ab32c84bc1914a6b47e1da7b9/80
超级课程表,https://www.super.cn/webPage/privacy.html
沪江开心词场,https://pass.hujiang.com/agreement
掌门1对1辅导,https://www.zhangmen.com/privacy-agreement.html
高途学院,https://m.gaotuxueyuan.com/mweb/privacyPolicy
云班课,https://static-cdn-oss.mosoteach.cn/eula/privacy_teach.html
墨墨背单词,https://www.maimemo.com/privacy
少儿趣配音,https://wap.qupeiyin.cn/activity/yqPrivacy
有道精品课,http://corp.163.com/gb/legal.html
多邻国Duolingo英语日语法语,https://www.duolingo.cn/privacy
口语易,https://act.kouyuyi.com/kyyGate/event/notice?uuid=d6f5f311bfec45b0ad67d8fff8c95369
腾讯翻译君,http://www.qq.com/privacy.htm
元贝驾考,https://hd.mnks.cn/doc/ybjk/secret.html
快快查汉语字典,http://api.youzhi.net/lisence/secret/index.html?app=com.kk.dict
中英互译,http://www.mzxbkj.com/pp/privacyzh.html
中华会计网校,https://www.cdeledu.com/OtherItem/appPrivacy/agreement_chinaacc.shtml
向上网,https://mobile.up360.com/policy/user-privacy.html
河南校讯通,https://m.xxt.cn/privacy-policy/xxt-policy.htm
同步课堂学生,http://user.jxtbkt.cn/outer/privacy/
简单课堂,http://cms.jd100.com/article/detail?article_id=657
奇妙咖啡餐厅,https://www.babybus.com/policy?name=privacy
悟空拼音,https://www.gongfubb.com/legal/py/privacy_www202104.htm
嗨学课堂,http://www.haixue.com/v5/privacy
驾考宝典3D练车,https://laofuzi.kakamobi.com/agreements/privateAgreement.html?_productCategory=jiakaobaodian&_product=驾考宝典3D练车&_appName=jiakao3d
天学网,https://www.up366.cn/privacy/v5/privacy.html
奇妙的身体冒险,https://cn.babybus.com/policy?name=privacy
学而思轻课,https://h5.yitongxuexi.com/app/siteinfo_secret/
扇贝听力,https://media-zip1.baydn.com/op_pub_file/rsmccv/e411b73b6aa463d6c7d15345d33bae8f.7493c60033e3ffa753b47cb780829abb.html
新华字典,https://about.shangdii.cn/privacy?f=21003
考虫,http://www.kaochong.com/agreement/detail.html
扇贝单词(英语版),https://www.shanbay.com/help/about/privacy/
青书学堂,https://service.qsxt.info/qsxt_yszc.html
尚德机构,https://16bit.sunlands.com/p/static/zrx/sunlands-privacy-policy/index.html
掌上华医,https://www.91huayi.com/
不背单词,https://learnywhere.cn/bb/privacy
第二课堂,https://docs.qq.com/doc/DYkpYeFZXaHBTcGJD
贝壳网,https://www.bakclass.com/common/userRegProtocol
有道背单词,http://shared.youdao.com/dict/market/youdaoInc/index.html#/CN
书链,https://mp.bookln.cn/qr/appText.htm?sh=sh&type=1&appTextId=22
星火英语,http://www.ispark.com.cn/content.aspx?id=124
同步小学课堂,http://iexue100.com/privacy.html
白描,https://baimiao.uzero.cn/baimiaoprivacy.html
日语学习,https://api.kakajapan.cn/jplearn_privacy_agreement.html
同步学,https://cbssh5.kingsun.cn/agreements/agreement.html
沪江网校,https://pass.hujiang.com/agreement
宝宝学英语,http://www.aimengtech.com/doc/english_security.html
驾考精灵,http://ht.jiakaojingling.com/ysxy.html
批改网,https://www.pigai.org/about/privacy.html
中考倒计时,http://gaokao.17zexiao.cn/Help/PrivateText
初中英语听力,http://www.csliyuload.com:8080/csliyu_cms/yszc.html
彩云小译,http://www.caiyunapp.com/xiaoyi/privacy.html
普通话学习,http://hcreator.cn/privacy-pth.html
HelloTalk,https://www.hellotalk.com/privacy-policy
一起考教师,https://www.17kjs.com/agreement/privacyPolicy.html
普通话测试,http://hcreator.cn/privacy-pthtest.html
