name,link
百度地图,https://map.baidu.com/zt/client/privacy/index.html
滴滴出行,https://s.didi.cn/AKN
腾讯地图,http://www.qq.com/privacy.htm
携程-酒店机票火车票旅游旅行,https://contents.ctrip.com/huodong/privacypolicyh5/index?type=2
铁路12306,https://kyfw.12306.cn/otn/gonggao/PrivacyPolicy.html?valueName=H5_CROSS_PAGE_DATA_PASSING_VALUE&notifyName=H5_CROSS_PAGE_DATA_PASSING_1593332068928
去哪儿旅行,https://m.flight.qunar.com/shark/active?cid=3433
车来了,https://www.chelaile.net.cn/privacyPolicy.html
嘀嗒出行,https://www.didapinche.com/static/h5/zhuanche/privacy.html
百度翻译,https://fanyi-app.baidu.com/static/agreement/privacy.html
飞猪旅行,https://terms.alicdn.com/legal-agreement/terms/Flyingpig/Flyingpig201802061043_85261.html
掌上公交,http://m.mygolbs.com/dl/privacy.html
同程旅行,https://app.ly.com/lion/tcServiceDetails?wvc3=1&tcwvcnew&index=3
马蜂窝旅游,http://www.mafengwo.cn/s/private.html
智行火车票12306高铁抢票,https://pages.ctrip.com/ztrip/document/privacypolicyzx.html
艺龙旅行,https://d.elong.com/a/travelPrivacy
中国国航,https://m.airchina.com.cn/ac/8
航旅纵横,https://www.umetrip.com/PrivacyOptimization/privacy.html
高铁管家,https://dl.rsscc.cn/faq/policyagreement/gtgjprivacypolicy.html
ofo共享单车,https://ofo-misc.ofo.com/service/index.html#/qa?type=36&conceal=1&level=3&id=101
爱彼迎,https://www.airbnb.cn/terms/privacy_policy
华住会,http://ws-www.hantinghotels.com/BD/privacypolicy.htm
百度糯米,https://m.nuomi.com/component/user_agreement/page/na.html
搜狗地图,https://map.sogou.com/m/shouji4/activity/out/rules/privacy.html
图吧导航,http://uc.mapbar.com/privacy/mapbar_PrivatePolicy/index.html
Agoda安可达,https://www.agoda.com/zh-cn/info/privacy.html
北京公交,https://download.tuspass.com/files/agreement/privacyagreement.html
12306买火车票,https://www.green12306.com/informRead.htm?method=detail&checks=751
南方航空,http://www.csair.com/newh5/cn/tourguide/booking/orders/static/yinsitiaokuan/
Ctrip,https://pages.trip.com/service-guideline/privacy-policy-zh-hk.html
盛名时刻表,http://www.smskb.com
途家民宿,https://pwa.tujia.com/h5/mob/protocol/privacyPolicy
首旅如家,https://app.homeinns.com/api/v4/static_pages/privacy_policy
神州租车,https://m.zuche.com/html5/newversion/info/android_privacy.html?ispc=pc
e代驾,https://h5.edaijia.cn/user-app-client/driverbook/protocol-secret.html
穷游,https://static.qyer.com/open/mobile/user/privacy_agreement.html
东方航空,https://activity.ceair.com/UI/18842/app/index.html
联动云租车,http://m.ldygo.com/app/agreement/user.html
蜜蜂出行小蜜版,http://mmuu.com/
铁行火车票,http://www.114piaowu.com/help/2922.html
格林,http://a4.greentree.cn/apple_statement.html
美团打车司机,https://i.meituan.com/awp/hfe/block/index.html?cube_h=9bdfc4f376d7&cube_i=90030
两步路户外助手,http://www.2bulu.com/about/privacy.htm
12306掌上火车票,http://12306.yikele.com/app/web/privacypolicy.html
搜狗导航,http://corp.sogou.com/private.html
锦江酒店,https://static.bestwehotel.com/opt/static/jjlx/h5/about/jjhotel/privacy.html
租租车,http://apps.zuzuche.com/privacy.htm
美团民宿,https://rules-center.meituan.com/rules-detail/71
华润通,https://cloud.huaruntong.cn/web/online/#/legal
拼车,http://h5.yivizd.com/Protocol/privacy.html
上海公交,http://ad.cs.cn/privacy.html
蚂蚁短租,https://m.mayi.com/privacy
旅图,http://www.erlinyou.com/mobile/privacy.html
维也纳酒店,http://m.wyn88.com/Statics/app/memberrule/MemberService.html
胡同导游,http://www.yeecai.com/privacy.html
一代驾,http://175.6.12.74:8028/yidj/privateP.html
代驾小秘,http://49.232.159.34:7788/yszc.html
自家民宿,http://www.zijia51.com/app_ys
29代驾,
速8酒店,http://amapi.super8.com.cn/Statics/privacypolicy.html
网路出行,http://app.wllives.com/Driver/Article/yinsixieyi
代驾大师,http://118.186.244.153:8088/aggrMaster/othersFunctionMobileController/loadIntimacyCooperation.do?type=7
代驾联盟,http://sxdaijialianmeng.com
出租车伙伴,http://trafficappdownload.daoluyunshu.com/Yszc/TrafficEduCZC/index.html
民宿预订网,https://www.muniao.com/
首汽约车,https://monline.01zhuanche.com/H5protocol/personalInfoPrivacy/personalInfo.html
一家民宿,http://www.onehome.me/infor/p_privacy
火车票达人,http://jiangmenjj.oss-cn-beijing.aliyuncs.com/ruixia/privacy_policy.html
客多多短租助手,https://m.iyoujia.com/activity/kddUserAgreement.html
移动客房,http://wechat.fjmcsoft.com:8504/APP-Privacy.html
呼我出租车,https://www.huwochuxing.com
中青旅遨游旅行,https://mpass.aoyou.com/licens
飞嘀打车,http://bj-bussness.qhfeidi.com/passenger_agreement.html
逸民宿,https://a3.rabbitpre.com/m2/aUe1ZjMCql#156412919051040
全国火车票实时查,http://42.121.107.165/TrainQuery/ys.txt
凯悦酒店,https://www.hyatt.com/zh-CN/info/privacy-policy-global
代驾计价器,http://sxdaijiajijiaqi.com
木鸟短租_民宿预订-日租房短租房,https://www.muniao.com/
爱家民宿,http://app.ajms.vip/views/secret.jsp
国泰出行,https://share.txzkeji.com/passengeragreement?id=6
代驾宝,http://www.tiangoukeji.com:8090/travel/display/registerrules?id=1
银座酒店,http://union.innmall.cn/activity2/yinzuo/privacy_statement/index.html?p=Android&v=4.0.1&u=6576127?accesstoken=phone%20d0d7612fb073a1620eff77103ed3e1e3
四季代驾,http://www.hnpcxx.com/yszc.html
火车时刻表,http://fypl.sinaapp.com/faq.htm
寻舍精品民宿旅游,http://www.qmango.com
