name,link
58同城,https://static.58.com/ucenter/my/html/privacypolicy.html?os=ios&showpic=1&pager=1
汽车之家,https://mobile.app.autohome.com.cn/set_v7.5.0/html/protocols.json?v=1111
下厨房,https://www.xiachufang.com/privacy_policy/
崇法法律咨询,http://api.chongfa.cn/v8/page/cfPrivacy
交管12123,https://static.122.gov.cn/app/static/page/yszc.html
途虎养车,https://wx.tuhu.cn/vue/wx/pages/_login/privacy
美团外卖商家版,https://rules-center.meituan.com/m/detail/guize/172?activeRule=1&commonType=6
爱彼迎,https://www.airbnb.cn/terms/privacy_policy
车轮,https://m.chelun.com/2019/chelun-protocol/index.html#/privacy/1
就问律师法律咨询,https://images.lvxinlvshi.com/aboutPage/policy.html
铁路12306,https://kyfw.12306.cn/otn/gonggao/PrivacyPolicy.html?valueName=H5_CROSS_PAGE_DATA_PASSING_VALUE&notifyName=H5_CROSS_PAGE_DATA_PASSING_1593332068928
e养车,https://ecar.wedrive.com.cn/ecar4.0/index.html?page=./ecar/build/vue-web/view/comman/privacy.js
途家民宿,https://pwa.tujia.com/h5/mob/protocol/privacyPolicy
赶集找工作,https://static.58.com/git/zp-ganji/app-agreement/privacy.html
美团外卖,https://rules-center.meituan.com/rules-detail/137?commonType=7
BOSS直聘,https://m.zhipin.com/mpa/html/mix/agreement-detail?agreementId=personalinfopro
菜鸟,https://page.cainiao.com/guoguo/statements/privacy.html
堆糖,https://www.duitang.com/guide2/event/dt_privacy_policy/
链家,https://www.lianjia.com/privacy/
每天赚点,http://xy.hnmzq.com/mtzdPrivacy.html
阿里巴巴,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_b2b/suit_bu1_b2b201703271337_94551.html
汽车报价大全,https://i.m.yiche.com/AuthenService/Register/PrivacyPolicy.html?from=app
车行易查违章,http://kfzxapi.cx580.com/cx580_secret_protocol-1567566898.html
美团民宿,https://rules-center.meituan.com/rules-detail/71
饿了么,https://h5.ele.me/service/agreement/
1905电影网,http://www.1905.com/about/privacy/
香哈菜谱,https://appweb.xiangha.com/vip/userPrivacy?isHasHead=2&appName=%E9%A6%99%E5%93%88%E8%8F%9C%E8%B0%B1
