name,link
微信,https://weixin.qq.com/cgi-bin/readtemplate?lang=zh_CN&t=weixin_agreement&s=privacy
QQ,https://privacy.qq.com/
快手,https://app.m.kuaishou.com/public/index.html#/protocol/privacy
新浪微博,https://m.weibo.cn/c/privacy
QQ(极速版),https://privacy.qq.com/
QQ(HD mini),http://www.qq.com/privacy.htm
百度贴吧,https://tieba.baidu.com/tb/cms/client/wise_secretright.html?noshare=1
虎牙直播,https://hd.huya.com/huyaDIYzt/6811/pc/index.html#diySetTab=1
YY,https://web.yy.com/policy_security_sy201911/policy.html
知乎,https://www.zhihu.com/term/privacy
企业微信,https://work.weixin.qq.com/nl/privacy/phone
LOFTER,http://www.lofter.com/agreement?op=privacyPolicy
连信,https://short.lianxinapp.com/help/legal/privacy.html
QQ空间,https://privacy.qq.com/
Soul,https://app.soulapp.cn/webview/#/privacy
直播吧,https://www.zhibo8.cc/web/privacyPolicy.html
千牛,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_taobao/suit_bu1_taobao201703241622_61002.html
珍爱网,https://i.zhenai.com/m/client/intro/policy.html
花椒直播,https://activity.huajiao.com/page/activity/index1.html
百度知道,https://iknow-base.cdn.bcebos.com/na-user-agreement%2Fprotocol.html
作业帮直播课,https://jiazhang.zuoyebang.com/webapp/ksPrivacy
Yippi,http://yiartkeji.com/privacy-policy/?lang=zh-hans
豆瓣,https://www.douban.com/about/privacy
腾讯NOW直播,https://privacy.qq.com/
微博(极速版),http://weibointl.api.weibo.cn/static/weibointlprivacy_cn.html
老柚,https://web.laoyouzhibo.com/privacy.html
聊客,http://z.wearekids.cn/user/privacy-agreement
易信,https://www.yixin.im/privacy/
酷狗直播,https://mfanxing.kugou.com/ether/ZXQwMDAwMDMw.html
映客直播,https://mlive.inke.cn/hybird/about/privacy.html
口袋助理,https://www.kdzl.cn/ConfidentialityAgreement.html
拼多多商家版,https://mstatic.pinduoduo.com/autopage/376_static_2/index.html
红人直播,http://pics.yu361.com/mobile/privacyPolicy.html
九秀直播,https://www.9xiu.com/activity/activity_agreement/agreement_17
么么直播,https://www.2339.com/mobile/notice/10027
换机助手,http://www.qq.com/privacy.htm
百合婚恋,https://apph5.baihe.com/setup/privacy
世纪佳缘,http://m.jiayuan.com/pages/2018/register_protect.html
CC直播,https://cc.163.com/agreement/
克拉克拉,https://live.hongdoulive.com/Forapp/privacy
比心,https://h5.hibixin.com/pandora/44
一直播,https://activity.yizhibo.com/special/acts.html?pid=20quwm7ix5nk0
