name,link
拼多多,http://m.pinduoduo.net/private_policy.html
手机淘宝,https://m.tb.cn/h.4abo5uW?sm=23994e
京东,https://ihelp.jd.com/n/help/tip/getTipsFacade.json?tipId=74
58同城,https://static.58.com/ucenter/my/html/privacypolicy.html?os=ios&showpic=1&pager=1
小红书,https://www.xiaohongshu.com/privacy
唯品会,https://viva.vip.com/act/supportPrivacy-pc?wapid=vivac_804
苏宁易购,https://sale.suning.com/all/regProtocol/yssm.html
阿里巴巴,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_b2b/suit_bu1_b2b201703271337_94551.html
多点,https://a.dmall.com/act/bjMyIrLkOTplwt3n.html
千牛,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_taobao/suit_bu1_taobao201703241622_61002.html
易车,http://i.m.yiche.com/AuthenService/Register/PrivacyPolicy.html?from=app
省钱快报,http://m.ibantang.com/operation/landing/243/?type=1
识货,http://www.shihuo.cn/app/assets/agreement/1.0.0/detail.html
一淘,https://mo.m.taobao.com/etao/page_legalstatement
返利,https://m.fanli.com/landingapp/privacyinfo2
淘集集,
微店,https://vmspub.weidian.com/gaia/16467/d6b3f3de.html
赶集找工作,https://static.58.com/git/zp-ganji/app-agreement/privacy.html
钱盾,
叮咚买菜,http://maicai.api.ddxq.mobi/info/single?alias=privacy_policy
小米有品,https://m.xiaomiyoupin.com/app/shop/content?id=t82f5b03957541646
分期乐,https://passport.fenqile.com/index.html#/protocol/userprivacy
当当,http://h5.dangdang.com/mix_20190917_0pzl
我查查,http://www.wochacha.com/mobile_news_id_187.html
每日优鲜,https://as-vip.missfresh.cn/frontend/active/publish/ed34d3ea-264a-45a8-a42b-6c2918f7cc02/index.html?promotionId=0
微多开分身,https://www.shengyaoo.com/privacy/
二维码扫描,https://shimo.im/docs/rQkXvptyvWPdkpHK/
京东到家,https://daojia.jd.com/html/agreement2.html
发现精彩,http://xyk.cgbchina.com.cn/subsite/202006/23548066/index.html
小米贷款,https://api.jr.mi.com/loan/privacy.html
折800,https://m.zhe800.com/mz/privacy_policy
浦大喜奔,https://wap.spdbccc.com.cn/zh/wap/channel/app/yszc.html
惠买,https://www.ugoshop.com/article.php?id=48
聚美,http://i.jumei.com/AccountMobile/PrivacyPolicy?uid=38129181
健客网上药店,https://app-hybrid.jianke.com/privacy
百度糯米,https://m.nuomi.com/component/user_agreement/page/na.html
招联金融,https://mucf.cc/HHM
淘宝联盟,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_ali_mama_division/suit_bu1_ali_mama_division201709111812_13128.html?spm=a2320.7388781.a214tr9.3.6f372030uIZbrG
什么值得买,https://zhiyou.smzdm.com/user/register/privacy/
淘票票,https://h5.m.taopiaopiao.com/app/dianying/pages/alfheim/content.html?id=30390&displayType=plain&interact=no&hsb=yes
他趣,https://market-h5.taqu.cn/html/faq/detail-50.html
1号社区,https://statics.0easy.com/yihaoshequ/zhengce-yihaosheque.html
药房网商城,https://reg.yaofangwang.com/secrecy.html
融e购,https://channels1.mall.icbc.com.cn/channels/mobile/operation/1/index.html
一折特卖,https://apps.1zhe.com/oauth2/?m=helpcenter&ac=about&relation=secret
真快乐,https://mshop.m.gome.com.cn/static/staticPage/register_boder.html
1号会员店,https://cms.yhd.com/cms/view.do?topicId=118
采源宝,https://rule.1688.com/policy/privacy.html
亚马逊购物,https://www.amazon.cn/gp/help/customer/display.html/ref=hp_spa_2v_lp_p&nodeId=201909010
Yoho!Buy有货,https://m.yohobuy.com/passport/privacy
华为商城,https://consumer.huawei.com/minisite/cloudservice/vmall/privacy-statement.htm?country=CN&language=zh_Hans_CN
盖得排行,https://h5.guiderank-app.com/privacy/guiderank.html
加油贵州,https://gzapp.deepermobile.com.cn/app-vue/app/index.html#/usercenter/agreement?value=63
中银国际证券,https://e.bocichina.com/app/html/boci_privacyPolicy.html
众安保险,https://www.zhongan.com/channel/about/website.html
饿了么星选-美食订餐,https://star.ele.me/static/forapp/serviceItem.html
汉服荟,https://www.hanfuhui.com/copyright?key=hui_privacy
蜜芽宝贝,https://m.mia.com/special/module/index/37297/app/
券妈妈优惠券,http://android.quanmamaon.com/t/newbie/Agreement/private_policy.aspx
贝贝,https://www.beibei.com/support/user/privacy.html
多多赚,http://ddz.ilajiang.cn/duoduozhuan/jsp/userPrivacy.html
电e宝,https://mobres.95598pay.com/mobresource/webhtml5/protocol/protocol.html?protocolId=503ac07aeb3447f8b710e4c6436cdd86
九九玩手游,
5173游戏交易,http://html.5173.com/zzjy/181023/privacy.html
安家趣花,https://ajqh-wap-prod.apass.cn/#/privacyPolicy
美味不用等,https://m.mwee.cn/c_commonbusiness/privacyagreement
小伶英语,https://download.xiaolingenglish.cn/web/agreement/xl_privacy.html
e城e家,http://attach.ecej.com/agreement.html
寺库奢侈品,https://m.secoo.com/appActivity/privacyAgreement.shtml
小象优品,https://cdn.basestonedata.com/prod/services/privacy.html
一起买买买,http://www.magicdeng.com/assets/web/game/user/mmmProtocol.html
爱抢购,https://render.doweidu.com/p/iqg/privacy.html
