name,link
支付宝,https://www.alipay.com/
同花顺,https://ozone.10jqka.com.cn/tg_templates/doubleone/2018/privacyPolicy/index.html
中国建设银行,https://mobile.ccb.com/mbsmt/html/CCBPrivacyAgreement.htm
大智慧,https://mnews.gw.com.cn/wap/data/news/xmt/2019/11/321490.html?DZHSPECIAL=2
中国银行,https://ebsnew.boc.cn/bocphone/VuePhone/tools/privacyPolicy/privacyPolicyA.html
中国农业银行,http://www.abchina.com/cn/AboutABC/yszc/gryszc/
中国工商银行,http://m.icbc.com.cn/ICBC/disclaimer/7.htm
招商银行,https://market.cmbchina.com/MPage/online/190717190011375/privacy.htm
平安金管家,https://m.lifeapp.pingan.com.cn/cmsinfo/upload/cmshtml/protectProtocol/index.html
京东金融,https://h5.m.jd.com/dev/r6GfckUwQej2Y4JK3nn1whkLv2k/index.html
邮储银行,https://pbank.psbc.com/perbank/html/system/privacyShow.html
翼支付,http://yipay.ctdns.net/html/h5-page/ysxy/bestpay-privacy-policy.html?version=59
工银融e联,https://mims.icbc.com.cn/IMServiceServer/icbc/AgreementPage.html
涨乐财富通,https://m.zhangle.com/views/app_agreement/index.html
中国银河证券,https://cdns.chinastock.com.cn/cdn/down/yszc/yszc-02.html
广发易淘金,https://hd.gf.com.cn/gfmobile/notice/privacy.html
新浪财经,http://finance.sina.cn/app/notice_finapp.shtml
平安口袋银行,https://b.pingan.com.cn/platform/privacyPolicy/index.html
e海通财,http://ops.htsec.com:19188/api/getAgreeNewContent?agreeType=1
买单吧,https://creditcard.bankcomm.com/content/dam/phone/ecd/yszc/yszc.html
国泰君安君弘,https://apicdn.app.gtja.com/web2/agreement-modal/index.html
360借条,https://cdn-daikuan.xjietiao.com/html/privacy_policy_doc.html
天天基金,https://m.1234567.com.cn/index.html?page=rule
智远一户通,https://weixin.newone.com.cn/app/info/privacy/index.html
民生银行,https://m1.cmbc.com.cn/CMBC_MBServer/new/app/mobile-bank-h5/common-agreement/home?agreeId=1350&title=%E9%9A%90%E7%A7%81%E6%94%BF%E7%AD%96
捷信金融,https://my.homecredit.cn/CustomerService/user_privacy_agreement.html
中信证券,https://kong.citics.com/citics/download/H5/user/html/sign.html
腾讯自选股,http://www.qq.com/privacy.htm
钱盾,
浦发银行,none
光大银行,http://static.cebbank.com/fileDir/subject/resource/cembpublished/7.0/clients/document/yinsizhengce/yinsizhengce.html?mertype=merchantweb
长江e号,https://www.95579.com/main/cjeh/index.html
玖富万卡,https://wx.9fonecard.com/wkstatic/privacy-policy.html
兴业银行,https://mobile.cib.com.cn/netbank/cn/aboutCIB/about/notice/other/20190621.html
51信用卡管家,https://web.u51.com/luban-project-ssr-1532/index.html
省呗,https://static.smyfinancial.com/static_app/agreement/privacy/privacy.html
丰收互联,https://fshl.zj96596.com/mfs/page/personalInfo/privacyAgree/privacyAgree.html
上海银行,https://mbank.bosc.cn/iweb_SHMBank/page/publicSelf/openNew/secret.html
小米贷款,https://api.jr.mi.com/loan/privacy.html
启信宝企业查询,https://www.qixin.com/privacy
小赢卡贷,https://cardloan.xiaoying.com/agreements/commonAgreement?contractId=1298&title=%e9%9a%90%e7%a7%81%e5%8d%8f%e8%ae%ae
米赚-手机赚钱,http://api.mizhuan.me/users/privacy
安逸花,https://vayh.msxf.com/protocol/privacy_protocol
东北证券融e通,http://www.nesc.cn/notice/dbzq_ysxy_notice.htm
口碑掌柜,https://render.alipay.com/p/c/k6h80vxi
第一财经,http://www.yicai.com
宁波银行,http://www.nbcb.com.cn/electronic_banking/knowledge_class/electronic_banking_link/mobile_banking_1/201809/t20180928_952285.shtml
广发银行,http://www.cgbchina.com.cn/Info/23033446
雪球,https://xueqiu.com/law/privacy
壹钱包,https://d.1qianbao.com/youqian/1qianbaoPrivacyAgreement.html
重庆农商行,https://oss.cqrcb.com/public/protocol/protocolPrivacyDoc_001.pdf
强化版MQ,http://www.etnet.com.hk/www/tc/aboutus/privacy.php
及贷,https://special.geedai.com/totoroX/upload/prod/5d37b206cbf29676ad5635fe.html
天府手机银行,https://m.tf.cn/resource/ws/resource/salesagreement/privacyPolicy.html
指南针股票,http://app.compass.cn/app/privacy_policy.php
金贝壳手机证券理财版,https://cl-cdn.ghzq.cn/Questionnaire/yszc.html
贵州通,https://front.gztpay.com/gztSecond/account/set/about/privacyStatement.html
陆金所,https://promo.lu.com/lupromo/activity/v2/H5/LP_20190719_HWP
江苏银行,https://app.jsbchina.cn/file/upload/app/yszc20190722.pdf
老虎证券Tiger Trade,https://www.itiger.com/agreement/15?skin=2
网商银行,https://docs.alipay.com/policies/privacy/mybank
华夏银行,http://www.hxb.com.cn/chinese/hotnews/sjyhqhb/yinsixieyi/policy.pdf
现金借款,https://www.yangqianguan.com/v3/page/YQG.PAGE.AGREEMENT.PRIVACY_POLICY
快贷,https://123kuaidai.com/ikebana/contract/D52F22CD22FBE9408D6859F9F839F3C7
广州农商银行,http://www.grcbank.com/ebank/pbank/column28393/201506/4947.html
中银国际证券,https://e.bocichina.com/app/html/boci_privacyPolicy.html
众安保险,https://www.zhongan.com/channel/about/website.html
国美金融,https://jie.gomemyf.com/jie-h5/html/agreement/gm-flsm-ys.html
PPmoney出借,https://m.ppmoney.com/pokeball/ppmoney/h5-privacyPolicy/#/
兴业证券优理宝,https://static.xyzq.cn/common/protocol/inetprivateprotocol/inet_private_protocol.html?tdsourcetag=s_pcqq_aiomsg
360贷款导航,https://m.dai.360.cn/agreement/agreement_auth
维信卡卡贷,https://contract.kkcredit.cn/agreement/privacyPolicy
中国人保,https://smsp.epicc.com.cn/app/wapapp/deal/group/ServiceAgreement.html
借点钱贷款借钱,https://static.jiedianqian.com/protocol/jdq.html
股票灯塔,https://sec.wedengta.com/userSecretAgreement.html?dt_from=app
杭州银行,http://www.hzbank.com.cn/hzyh/dzyx/khfwzx/lxwm27/index.html
苏州银行,https://mobilebank.suzhoubank.com/mbank/pages/szyh_privacy.html
拉卡拉,http://spi.lakala.com:3080/front-payment/agrtContent.html?agrtType=YSZC
微众银行,https://www.webankcdn.net/s/hj/appconf/common/xy.html
白白贷款,https://zyddweb.91daiwo.com/promote/dist/agreement?key=bbdk_privacy
36氪,https://asset.36kr.com/kr-front-webapp-prod/terms.html
牛股王股票,https://h5.niuguwang.com/agreement/ngw/privacy.html
人人贷财富,https://www.renrendai.com/about/information/1/5a2ddadbaf70525bb0a5d412
功夫贷,https://channel.91gfd.com/pdf/viewer.html?file=https%3A%2F%2Fstatic.91gfd.com.cn%2Fgfd%2Fvendor%2Fprotocols%2F%E5%8A%9F%E5%A4%AB%E8%B4%B7%E9%9A%90%E7%A7%81%E6%9D%83%E6%94%BF%E7%AD%9620181012.pdf
羚羊财富-投资赚钱,https://lendweb.ppdai.com/static/lend/agreement/agreement_privacy.html
汉口银行,https://www.hkbchina.com/pcweb/Notice4.html?y7bRbP=qvc0qqqRDp9RDp9RDpoaD2sAtHW_Rf_jkueqKffGXhqqqr9
借贷宝,https://www.jiedaibao.com/spage/rule/privacy/index.html
蒙商银行,https://mb.bsb.com.cn/perbank/APP/pdfInfo/ystk.html
E动生命,https://gw-int2.sino-life.com:5678/SL_EFS/mweb/app/privacy/html/secretProtocol.html
慧博投资分析,http://www.hibor.com.cn/register/regagreement.html
金道外汇投资,
齐商银行,https://ebank.qsbank.cc/image/801/cm/privacy_upload/e8e46f584f3d443cbebeb7e5268d66e6.pdf
借乐花,
广发基金,http://www.gffunds.com.cn/html/app/agreement/app-privacy/index.html
和信贷财富,
我爱卡,https://static.51credit.com/agreement/privacy.html
江阴农商银行,http://www.jybank.com.cn/jybank/wzgl/wzsm/index.html
锦州银行,https://mob.jinzhoubank.com:7777/mbserver/fileDownload?file=sJcmemXNUbIcRafCUnHY
羊小咩,https://sappbackend.xyqb.com/public/agreements/index.html
常熟农商银行,https://wx.csrcbank.com/mobiledownload/phoneNotify.html
飞贷,https://app.feidai.com/SJDKSer/page/views/contract/privacy.html
悟空优选,https://static.9f.cn/pos/隐私保护政策-wk.pdf
玖富钱包,https://static.9f.cn/pos/%E7%8E%96%E5%AF%8C%E9%92%B1%E5%8C%85%E9%9A%90%E7%A7%81%E6%94%BF%E7%AD%96.pdf
浙商银行,http://www.czbank.com/cn/other2/xy1/xy1/qdsz_dzyhgrywxy.pdf
信贷宝,
中国人寿基金,https://wx.gsfunds.com.cn/html/prod/369/#/webpage?title=隐私政策&url=https://cf.yun-in.com/resource//agreement/600572/trading/369/8/735243990147792896.html
黄河银行,https://mobilebank.bankyellowriver.com:8001/hhyszcpri/
鑫圣贵金属,https://m.xs9999.com.hk/about/privacy_policy.html
鹏淘,https://pt.iszt.cn/html5/pt/privacy_policy.html
新一站保险,https://m.xyz.cn/special/2018s/yinsizhengce-index.html?type=app
小帮保险,https://insurance.xiaobangbaoxian.com/pages/#/agreement
全民付,http://www.chinaums.com/Info/2009647
慧择保险,https://m.huize.com/about/hzyszcsm.html
保险赢,https://wx.baoxianwin.com/share/aqgz.html
大象保,http://cdn.bz365.com/privacyPolicy.html
保险师,https://app.winbaoxian.com/view/custom-service/faq-detail.html?uuid=lawList
纪家保险,https://share.jijiabaoxian.cn/privacy.html
同方全球人寿,http://www.aegonthtf.com/mss/
脉保险,http://www.17maibaoxian.com/mbx
保险行销,https://app.idaonline.cn/#/agreement
保险驾到,https://jdwap.tenbent.com/v513/#/reg_agree/1
阳光保险在线,https://user.ygibao.com/html/m/personalCenter/userNotice.htm
保险大咖,
向日葵保险,https://bxr.im/activity/node/5d7f2f2528c6843d9dc323e0
蜗牛保险,https://web.insnail.com/other/weChatPublic/pact.html#userPact
保险助手,
保险E账户,http://bxyzh.ciitc.com.cn/Xfzfwpt/webpage/pages/app/app/protocol.html
新贝易保,http://www.91xinbei.cn/special/2019s/app/xinbeiyinsi.html?type=app
掌上生活,http://www.cmbchina.com/about/?pageid=privacy
黄金树,https://m.hjshu.net/GoldTreeUser/service_protocol/
保险一点,
大特保,
中民网,https://m.zhongmin.cn/SettionMore/Privacynotic
小雨伞,https://www.xiaoyusan.com/static/html/user/priviteagreement.html
梧桐树,https://bx.wts999.com/m/exercise/privacy-policy.html
大家保险,https://e.djbx.com/wechat/user-statement.html
随身保典,https://www.ibaodian.com/mingya/agreement.html
保多多保险,http://www.lugenglv.com/privacy.html
保险大专家,http://www.e-xingxiao.cn/dzj-app/dataList/examples/agreement.html
小贝保险,https://cdn.11bee.com/beiins/html/privacy-policy-20181228.html
动卡空间,https://creditcard.ecitic.com/heyue/yinsitiaokuan.html
保险岛,https://rest-02.bxd365.com/html/common/protocol
超级伙伴,http://rest.51cjhb.com/assets/html/private.html
